evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
761014-23-M4,760816-14-M1,1976-10-14 23:25:57.175000,AA,repeating,109.37132037037036,251.08158444444445,1.6638561921296298,0.0080765007826643,251.08158444444445,32.145154250000004,303.85020062510296,7.01697133151054,24.09341807904107,4.515650841421016
761015-09-M1,770112-06-M1,1976-10-15 09:10:51.816555,AA,repeating,106.76171729222224,248.06206075066663,2.070044173090278,0.0243510997617514,248.06206075066663,19.33690575,260.50622882080194,3.3621977990852514,352.6245654220936,0.181345627328484
761016-01-M2,760916-08-M1,1976-10-16 01:34:12.500000,AA,repeating,103.25877777777778,243.73129629629625,2.752922453703704,0.0050855623718823,243.73129629629625,27.00977975,300.90666456388334,0.1607193311842293,197.4099113412981,0.3556575326826224
761016-08-M2,770213-12-M1,1976-10-16 08:23:11.825000,AA,repeating,102.02814111111113,242.13085481481485,3.0369424189814813,0.0081255429147216,242.13085481481485,14.1596945,148.8298984221026,0.4918447907427437,200.33651427985103,0.2032503840276545
761017-04-M2,761017-04-M2,1976-10-17 04:25:17.247253,AA,repeating,98.95256678875558,237.9867557183408,3.8717273987615743,0.0165577606538411,237.9867557183408,17.1534875,144.00912096862666,0.1393308890988702,150.57772053661876,0.4557771386694242
761017-10-M1,761017-10-M1,1976-10-17 10:12:33.428439,AA,repeating,98.18100952773334,236.91201905546663,4.112886903229167,0.0084044924546874,236.91201905546663,33.68486525,230.70881956621145,48.31103610779128,293.3320166385881,0.4530324288520383
761018-04-M1,761116-16-M1,1976-10-18 04:15:08.544826,AA,repeating,96.03641348663704,233.84962022995555,4.864682231782408,0.0179259602250212,233.84962022995555,17.18384425,177.89019658490008,4.933959834497909,110.0342604092476,0.0894128924612235
761020-17-M1,761120-03-M1,1976-10-20 17:23:59.520620,AA,repeating,90.67200710192594,225.76401420385184,7.41249445162037,0.0077214753800818,225.76401420385184,26.529083,151.0520614218385,70.52820092413528,259.2243376670155,0.3420537156845822
761021-12-M2,761120-03-M1,1976-10-21 12:04:06.650000,AA,repeating,89.41634592592592,223.7826918518519,8.190354745370371,0.0070578962946716,223.7826918518519,29.43928675,119.54834950762394,45.59115286270746,258.4202678192295,0.7472897059385368
761021-21-M1,761220-05-M1,1976-10-21 21:39:34.309075,AA,repeating,88.82482505074073,222.8348250507408,8.589980429108795,0.0116222446385056,222.8348250507408,22.545664,117.58199206284108,1.0278583819343314,189.1911085463276,0.1630437257498952
