evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
761108-12-M1,761108-12-M1,1976-11-08 12:12:31.100000,AA,isolated,348.9919614814815,345.3287259259259,26.19619328703704,0.0029996835837248,345.3287259259259,3.79200775,104.2794817011081,0.9140679212534256,89.8016373541623,3.9453612135625673
761109-07-M2,761109-07-M2,1976-11-09 07:11:07.575000,AA,isolated,329.34586333333334,333.59809666666666,26.986893229166668,0.0058393751662487,333.59809666666666,9.532569,68.40765981076736,1.3767124067711694,66.10771907373758,0.7305695048506872
761111-06-M5,761111-06-M5,1976-11-11 06:19:35.168824,AA,isolated,233.58389649623703,290.6843919214222,28.95110149101852,0.0068806790054064,290.6843919214222,5.33580025,126.9359789079623,0.4587266958467041,232.94905558639888,54.26483664378289
761111-17-M1,761111-17-M1,1976-11-11 17:10:23.187677,AA,isolated,173.4925514218074,277.5684221592889,29.40304615366898,0.0058975959168066,277.5684221592889,6.890306750000001,122.10086054712194,3.1092150820694835,97.2521430301504,0.1656689922785134
761112-22-M1,761112-22-M1,1976-11-12 22:17:02.622960,AA,isolated,114.993650272,257.5521335751112,1.0378775805555556,0.0040931321304021,257.5521335751112,8.347705000000001,74.17756210249361,1.8244520636642567,110.5352444661508,0.005106635941804
761113-11-M1,761113-11-M1,1976-11-13 11:20:49.064526,AA,isolated,110.15897204213331,252.5889720421333,1.5821650986805555,0.0043565811668107,252.5889720421333,9.63860625,8.199493488021362,0.04885514504069,79.30331782877934,0.140687550424251
761114-14-M2,761114-14-M2,1976-11-14 14:28:47.270770,CC,isolated,103.60097654696295,244.7487206837037,2.712699893171296,0.0050415959777732,244.7487206837037,14.2542525,-1.0,-1.0,-1.0,-1.0
761116-14-M1,761116-14-M1,1976-11-16 14:23:28.649493,AA,isolated,96.56492890391112,235.14739335586663,4.709012146909722,0.0078420503826468,235.14739335586663,3.65025575,110.36782644200484,0.0134476964300781,103.64635538220408,0.0386497839981833
761126-23-M3,761126-23-M3,1976-11-26 23:51:59.709261,AA,isolated,206.90865023595555,218.9190378879556,15.103816079409722,0.0091771730574215,218.9190378879556,4.267518,106.16141111645474,0.0081198105911988,95.06245014083444,0.210606111507407
761127-10-M2,761127-10-M2,1976-11-27 10:30:50.919030,AA,isolated,251.38526136,230.286595832,15.547464340625,0.0053364382592851,230.286595832,10.3665825,353.2713055096088,0.0269799921876373,80.55891726976286,0.9603780404861822
761127-10-N2,761127-10-N2,1976-11-27 10:16:23.800000,CC,isolated,250.6144888888889,229.99397925925928,15.53742824074074,0.0034790688249854,229.99397925925928,14.205103,-1.0,-1.0,-1.0,-1.0
761127-16-M1,761127-16-M1,1976-11-27 16:36:50.304966,AA,isolated,268.8117724202666,237.7758862101333,15.801623900069444,0.0041944950799557,237.7758862101333,4.28494975,57.50648148145758,50.1396347105562,89.94519234800512,0.002229302884314
