evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source
761001-18-M1,761001-18-M1,4,1976-10-01 18:31:56.566667,1.0,0.0,3,35,B,BB,isolated,1,1.460545,1976-10-01 18:31:56.566667,345.0826908642815,299.8962651852889,17.99874498457176,sunrise2,22.30000012975166,0.0070293586061013,283.8030310673227,48.33989820300989,240.10758398064416,1.425769861057634,geophone_rock
761001-18-M1,761001-18-M1,3,1976-10-01 18:31:56.966667,1.0,0.0,3,35,B,BB,isolated,1,0.405783,1976-10-01 18:31:56.966667,345.08279160502224,299.89638962973333,17.99874961420139,sunrise2,18.500000129751605,0.0105807552736692,283.8030310673227,48.33989820300989,240.10758398064416,1.425769861057634,geophone_rock
761001-18-M1,761001-18-M1,1,1976-10-01 18:31:58.066667,1.0,0.0,3,35,B,BB,isolated,1,11.227552,1976-10-01 18:31:58.066667,345.0830686420593,299.8967318519556,17.99876234568287,sunrise2,80.90000012975129,0.005477310502267,283.8030310673227,48.33989820300989,240.10758398064416,1.425769861057634,geophone_rock
770301-02-M1,770301-02-M1,4,1977-03-01 02:34:06.200000,1.0,0.0,3,35,C,AA,isolated,1,3.97347,1977-03-01 02:34:06.200000,382.5318844444445,349.8498074074074,20.403891203703704,sunrise7,73.40000012975172,0.0154634189940303,185.6886408855332,7.432113686152494,170.56008703074747,2.817800101599095,geophone_rock
770301-02-M1,770301-02-M1,3,1977-03-01 02:34:06.700000,1.0,0.0,3,35,C,AA,isolated,1,2.869729,1977-03-01 02:34:06.700000,382.5319288888889,349.8498814814815,20.40389699074074,sunrise7,57.60000012975216,0.0338457399612316,185.6886408855332,7.432113686152494,170.56008703074747,2.817800101599095,geophone_rock
770301-02-M1,770301-02-M1,2,1977-03-01 02:34:09.600000,1.0,0.0,3,35,C,AA,isolated,1,2.189117,1977-03-01 02:34:09.600000,382.5321866666667,349.8503111111111,20.40393055555556,sunrise7,42.400000129751945,0.010794791940111,185.6886408855332,7.432113686152494,170.56008703074747,2.817800101599095,geophone_rock
770301-02-M1,770301-02-M1,1,1977-03-01 02:34:09.800000,1.0,0.0,3,35,C,AA,isolated,1,1.648981,1977-03-01 02:34:09.800000,382.53220444444446,349.8503407407407,20.40393287037037,sunrise7,48.20000012975203,0.0094521475030558,185.6886408855332,7.432113686152494,170.56008703074747,2.817800101599095,geophone_rock
760909-03-N1,760909-03-N1,3,1976-09-09 03:44:22.100000,1.0,0.0,3,35,D,AA,isolated,1,0.651701,1976-09-09 03:44:22.100000,366.72617629629633,353.8133688888889,24.874561342592592,sunset1,30.40000012975177,0.0206551025703483,194.1481374344812,6.987061019727378,222.8961375844983,0.5110326814818738,geophone_rock
760909-03-N1,760909-03-N1,4,1976-09-09 03:44:23.000000,1.0,0.0,3,35,D,AA,isolated,1,2.421769,1976-09-09 03:44:23.000000,366.7260296296296,353.8132888888889,24.874571759259258,sunset1,29.900000129751767,0.008178314417708,194.1481374344812,6.987061019727378,222.8961375844983,0.5110326814818738,geophone_rock
760909-03-N1,760909-03-N1,2,1976-09-09 03:44:23.100000,1.0,0.0,3,35,D,AA,isolated,1,2.440817,1976-09-09 03:44:23.100000,366.72601333333336,353.81328,24.87457291666667,sunset1,23.90000012975168,0.0059104912443633,194.1481374344812,6.987061019727378,222.8961375844983,0.5110326814818738,geophone_rock
760909-03-N1,760909-03-N1,1,1976-09-09 03:44:23.800000,1.0,0.0,3,35,D,AA,isolated,1,0.465307,1976-09-09 03:44:23.800000,366.7258992592593,353.81321777777777,24.87458101851852,sunset1,43.800000129751965,0.0051618279538285,194.1481374344812,6.987061019727378,222.8961375844983,0.5110326814818738,geophone_rock
761011-12-M1,761011-12-M1,3,1976-10-11 12:33:36.000000,1.0,0.0,3,35,B,BB,isolated,1,2.517008,1976-10-11 12:33:36.000000,300.59426666666667,317.08213333333333,27.749895833333333,sunset2,29.10000012975176,0.0124408168039182,227.8809932813365,59.6819044085367,258.54244974637083,14.951547087760764,geophone_rock
761011-12-M1,761011-12-M1,4,1976-10-11 12:33:37.700000,1.0,0.0,3,35,B,BB,isolated,1,1.429253,1976-10-11 12:33:37.700000,300.59346074074074,317.08173037037034,27.74991550925926,sunset2,23.400000129751675,0.0081265543988819,227.8809932813365,59.6819044085367,258.54244974637083,14.951547087760764,geophone_rock
761011-12-M1,761011-12-M1,1,1976-10-11 12:33:38.800000,1.0,0.0,3,35,B,BB,isolated,1,4.878572,1976-10-11 12:33:38.800000,300.59293925925925,317.0814696296296,27.74992824074074,sunset2,42.30000012975194,0.0044050955361855,227.8809932813365,59.6819044085367,258.54244974637083,14.951547087760764,geophone_rock
760916-04-N1,760916-04-N1,3,1976-09-16 04:52:02.800000,1.0,0.0,3,35,D,BB,isolated,1,3.274831,1976-09-16 04:52:02.800000,104.60161185185184,244.56201481481483,2.429372685185185,night2,33.70000012975182,0.0062632923588182,347.8994338511603,102.7575388592974,132.69550652528233,16.826079867525994,R2
760916-04-N1,760916-04-N1,1,1976-09-16 04:52:04.100000,1.0,0.0,3,35,D,BB,isolated,1,1.626191,1976-09-16 04:52:04.100000,104.6015348148148,244.56191851851847,2.4293877314814813,night2,476.6000001297915,0.0031045540754822,347.8994338511603,102.7575388592974,132.69550652528233,16.826079867525994,R2
760916-04-N1,760916-04-N1,2,1976-09-16 04:52:05.300000,1.0,0.0,3,35,D,BB,isolated,1,0.375171,1976-09-16 04:52:05.300000,104.6014637037037,244.56182962962964,2.42940162037037,night2,22.800000129751663,0.0034835846263332,347.8994338511603,102.7575388592974,132.69550652528233,16.826079867525994,R2
770124-19-M1,761028-01-M1,3,1977-01-24 19:25:26.874125,0.9135926781544652,0.0085034013605442,3,35,A,AA,repeating,2,0.925511,1977-01-24 19:25:26.882628,108.21684805368888,213.42572290026663,14.692151419305556,sunrise6,65.0000001297522,0.010750302039822,348.5588874389476,0.3203638509666294,351.0931031412422,0.1662457057273542,R2
770124-19-M1,761028-01-M1,1,1977-01-24 19:25:27.080587,0.9175120529575036,0.1020408163265306,3,35,A,AA,repeating,2,2.691838,1977-01-24 19:25:27.182628,108.21888360924444,213.4257495669333,14.692154891527776,sunrise6,51.70000012975208,0.0088421601962783,348.5588874389476,0.3203638509666294,351.0931031412422,0.1662457057273542,R2
770124-19-M1,761028-01-M1,2,1977-01-24 19:25:27.276165,0.8987753573500943,-0.0935374149659864,3,35,A,AA,repeating,2,1.69694,1977-01-24 19:25:27.182628,108.21888360924444,213.4257495669333,14.692154891527776,sunrise6,49.60000012975205,0.0070850127888645,348.5588874389476,0.3203638509666294,351.0931031412422,0.1662457057273542,R2
770124-19-M1,761028-01-M1,4,1977-01-24 19:25:28.380587,0.8651304414381068,0.1020408163265306,3,35,A,AA,repeating,2,3.942858,1977-01-24 19:25:28.482628,108.22770434998516,213.4258651224889,14.692169937824074,sunrise6,75.70000012975159,0.0042366491817571,348.5588874389476,0.3203638509666294,351.0931031412422,0.1662457057273542,R2
761028-01-M1,761028-01-M1,3,1976-10-28 01:02:47.307639,1.0,0.0,3,35,A,AA,repeating,2,0.936055,1976-10-28 01:02:47.307639,96.97940137928887,212.11324786008888,14.73110309767361,sunrise3,52.40000012975209,0.0113043528546792,347.73909678585704,0.3458007862459762,357.414975478936,0.4386203609010953,R2
761028-01-M1,761028-01-M1,1,1976-10-28 01:02:47.507639,1.0,0.0,3,35,A,AA,repeating,2,2.785375,1976-10-28 01:02:47.507639,96.9806398978074,212.1132597119408,14.731105412488423,sunrise3,48.100000129752026,0.0088807987444134,347.73909678585704,0.3458007862459762,357.414975478936,0.4386203609010953,R2
761028-01-M1,761028-01-M1,2,1976-10-28 01:02:47.707639,1.0,0.0,3,35,A,AA,repeating,2,5.842178,1976-10-28 01:02:47.707639,96.98187841632593,212.11327156379247,14.73110772730324,sunrise3,67.00000012975208,0.0079990331023948,347.73909678585704,0.3458007862459762,357.414975478936,0.4386203609010953,R2
761028-01-M1,761028-01-M1,4,1976-10-28 01:02:48.807639,1.0,0.0,3,35,A,AA,repeating,2,5.907144,1976-10-28 01:02:48.807639,96.98869026817778,212.1133367489778,14.731120458784725,sunrise3,49.10000012975204,0.0043147457684544,347.73909678585704,0.3458007862459762,357.414975478936,0.4386203609010953,R2
770223-19-N2,770223-19-N2,2,1977-02-23 19:17:27.200000,1.0,0.0,3,35,D,AA,isolated,1,5.104423,1977-02-23 19:17:27.200000,208.1889777777777,219.84040592592595,15.100662037037036,sunrise7,28.90000012975176,0.0102272549029864,349.0835320016286,0.2797690720749481,341.11853178719053,0.7824325954558481,R2
770223-19-N2,770223-19-N2,3,1977-02-23 19:17:27.300000,1.0,0.0,3,35,D,AA,isolated,1,2.419389,1977-02-23 19:17:27.300000,208.18913333333333,219.84043111111112,15.100663194444444,sunrise7,44.00000012975197,0.0136430734729981,349.0835320016286,0.2797690720749481,341.11853178719053,0.7824325954558481,R2
770223-19-N2,770223-19-N2,1,1977-02-23 19:17:27.600000,1.0,0.0,3,35,D,AA,isolated,1,3.352382,1977-02-23 19:17:27.600000,208.1896,219.84050666666667,15.100666666666667,sunrise7,26.900000129751724,0.0102914473590117,349.0835320016286,0.2797690720749481,341.11853178719053,0.7824325954558481,R2
770223-19-N2,770223-19-N2,4,1977-02-23 19:17:29.200000,1.0,0.0,3,35,D,AA,isolated,1,5.893538,1977-02-23 19:17:29.200000,208.1920888888889,219.84090962962964,15.100685185185185,sunrise7,36.20000012975186,0.0039870294914987,349.0835320016286,0.2797690720749481,341.11853178719053,0.7824325954558481,R2
770423-21-M6,770423-21-M6,3,1977-04-23 21:30:20.960076,1.0,0.0,3,35,A,BB,isolated,1,3.578572,1977-04-23 21:30:20.960076,201.53144486684445,218.39163498097776,15.122638426805556,sunrise9,29.30000012975176,0.0167218518766752,62.14166643911363,95.48748509357117,84.96259764393453,126.53530456760924,R2
770423-21-M6,770423-21-M6,1,1977-04-23 21:30:21.860076,1.0,0.0,3,35,A,BB,isolated,1,3.231294,1977-04-23 21:30:21.860076,201.53293820017777,218.39184831431112,15.122648843472222,sunrise9,23.70000012975168,0.008737718936031,62.14166643911363,95.48748509357117,84.96259764393453,126.53530456760924,R2
770423-21-M6,770423-21-M6,2,1977-04-23 21:30:21.960076,1.0,0.0,3,35,A,BB,isolated,1,4.610885,1977-04-23 21:30:21.960076,201.5331041261037,218.3918720180148,15.12265000087963,sunrise9,24.700000129751693,0.0075638699623241,62.14166643911363,95.48748509357117,84.96259764393453,126.53530456760924,R2
770408-12-M5,770408-12-M5,3,1977-04-08 12:47:16.900000,1.0,0.0,3,35,C,BB,isolated,1,2.057484,1977-04-08 12:47:16.900000,191.72850962962963,280.28335259259256,29.28283449074074,sunset8,27.800000129751737,0.0353041079906264,132.26678060527493,16.51248697376945,22.891684153414342,118.76205555361204,R2
770408-12-M5,770408-12-M5,1,1977-04-08 12:47:17.400000,1.0,0.0,3,35,C,BB,isolated,1,3.113607,1977-04-08 12:47:17.400000,191.7275911111111,280.2831822222222,29.282840277777776,sunset8,31.8000001297518,0.0257332992611835,132.26678060527493,16.51248697376945,22.891684153414342,118.76205555361204,R2
770408-12-M5,770408-12-M5,2,1977-04-08 12:47:17.500000,1.0,0.0,3,35,C,BB,isolated,1,2.324831,1977-04-08 12:47:17.500000,191.7274074074074,280.28314814814814,29.282841435185187,sunset8,26.60000012975172,0.0170576378600081,132.26678060527493,16.51248697376945,22.891684153414342,118.76205555361204,R2
770208-10-M2,770208-10-M2,3,1977-02-08 10:05:23.500000,1.0,0.0,3,35,B,AA,isolated,1,1.913266,1977-02-08 10:05:23.500000,197.2073925925926,282.5631037037037,29.303223379629628,sunset6,34.20000012975183,0.0358807418879541,6.5735651989714885,1.428933615408268,354.54533172225734,0.1113015684865174,R2
770208-10-M2,770208-10-M2,1,1977-02-08 10:05:23.800000,1.0,0.0,3,35,B,AA,isolated,1,3.092858,1977-02-08 10:05:23.800000,197.20687703703703,282.5630014814815,29.30322685185185,sunset6,51.70000012975208,0.0234848704136971,6.5735651989714885,1.428933615408268,354.54533172225734,0.1113015684865174,R2
770208-10-M2,770208-10-M2,2,1977-02-08 10:05:23.900000,1.0,0.0,3,35,B,AA,isolated,1,2.100001,1977-02-08 10:05:23.900000,197.2067051851852,282.56296740740737,29.303228009259257,sunset6,83.40000012975115,0.0199505338102081,6.5735651989714885,1.428933615408268,354.54533172225734,0.1113015684865174,R2
770208-10-M2,770208-10-M2,4,1977-02-08 10:05:25.000000,1.0,0.0,3,35,B,AA,isolated,1,7.981293,1977-02-08 10:05:25.000000,197.2048148148148,282.5625925925926,29.30324074074074,sunset6,76.30000012975155,0.0091851981333605,6.5735651989714885,1.428933615408268,354.54533172225734,0.1113015684865174,R2
770421-00-M2,770421-00-M2,4,1977-04-21 00:50:04.633333,1.0,0.0,3,35,B,AA,isolated,1,3.557144,1977-04-21 00:50:04.633333,84.30548691358518,216.4654869135852,12.261338348761573,night9,54.10000012975211,0.0080768828423461,142.28109680646344,0.1470872262877295,141.02257427861338,0.4891451853450598,GEO4_rock1
770421-00-M2,770421-00-M2,3,1977-04-21 00:50:05.733333,1.0,0.0,3,35,B,AA,isolated,1,3.766667,1977-04-21 00:50:05.733333,84.30547061728889,216.4654706172889,12.261351080243056,night9,46.300000129752,0.0032697998510015,142.28109680646344,0.1470872262877295,141.02257427861338,0.4891451853450598,GEO4_rock1
770421-00-M2,770421-00-M2,1,1977-04-21 00:50:05.933333,1.0,0.0,3,35,B,AA,isolated,1,10.292858,1977-04-21 00:50:05.933333,84.30546765432592,216.46546765432592,12.261353395057869,night9,57.60000012975216,0.0025674083643216,142.28109680646344,0.1470872262877295,141.02257427861338,0.4891451853450598,GEO4_rock1
770421-00-M2,770421-00-M2,2,1977-04-21 00:50:07.133333,1.0,0.0,3,35,B,AA,isolated,1,7.604763,1977-04-21 00:50:07.133333,84.30544987654815,216.4654498765481,12.261367283946758,night9,40.60000012975192,0.002492633704831,142.28109680646344,0.1470872262877295,141.02257427861338,0.4891451853450598,GEO4_rock1
770206-17-M2,770206-17-M2,4,1977-02-06 17:13:19.033333,1.0,0.0,3,35,B,AA,repeating,3,0.383334,1977-02-06 17:13:19.033333,311.3133782717481,324.3424370371111,27.600393904317126,sunset6,53.700000129752105,0.0314636515215977,157.61907625341811,2.1490895578945324,133.57017720760942,3.1362783579287044,GEO4_rock1
770206-17-M2,770206-17-M2,3,1977-02-06 17:13:19.633333,1.0,0.0,3,35,B,AA,repeating,3,2.308844,1977-02-06 17:13:19.633333,311.3131204939704,324.34230370377776,27.600400848761574,sunset6,44.50000012975197,0.0119023151035916,157.61907625341811,2.1490895578945324,133.57017720760942,3.1362783579287044,GEO4_rock1
770206-17-M2,770206-17-M2,1,1977-02-06 17:13:19.833333,1.0,0.0,3,35,B,AA,repeating,3,3.426871,1977-02-06 17:13:19.833333,311.31303456804443,324.34225925933333,27.600403163576388,sunset6,46.90000012975201,0.0099636315596065,157.61907625341811,2.1490895578945324,133.57017720760942,3.1362783579287044,GEO4_rock1
770206-17-M2,770206-17-M2,2,1977-02-06 17:13:20.833333,1.0,0.0,3,35,B,AA,repeating,3,1.644559,1977-02-06 17:13:20.833333,311.3126049384148,324.3420370371111,27.600414737650464,sunset6,49.90000012975205,0.0044984092516923,157.61907625341811,2.1490895578945324,133.57017720760942,3.1362783579287044,GEO4_rock1
770308-07-M4,770206-17-M2,4,1977-03-08 07:32:18.552041,0.9190886017421352,-1.3520408163265307,3,35,B,AA,repeating,3,1.679252,1977-03-08 07:32:17.200000,309.2210548148148,322.8074785185185,27.610962962962965,sunset7,346.10000012976184,0.0246952136502788,159.62644191933722,0.2480993187235263,161.43005029039008,2.330910158530702,GEO4_rock1
770308-07-M4,770206-17-M2,3,1977-03-08 07:32:19.157483,0.8714650431419424,0.042517006802721,3,35,B,AA,repeating,3,1.558504,1977-03-08 07:32:19.200000,309.2201955555556,322.80700444444443,27.61098611111112,sunset7,254.10000012974143,0.0124920383595105,159.62644191933722,0.2480993187235263,161.43005029039008,2.330910158530702,GEO4_rock1
770308-07-M4,770206-17-M2,1,1977-03-08 07:32:19.347279,0.8743605247471405,0.5527210884353742,3,35,B,AA,repeating,3,0.952042,1977-03-08 07:32:19.900000,309.2198948148148,322.8068385185185,27.61099421296296,sunset7,257.40000012974167,0.0089873023882494,159.62644191933722,0.2480993187235263,161.43005029039008,2.330910158530702,GEO4_rock1
770308-07-M4,770206-17-M2,2,1977-03-08 07:32:20.355442,0.7817868036874049,0.1445578231292517,3,35,B,AA,repeating,3,46.823131,1977-03-08 07:32:20.500000,309.219637037037,322.80669629629625,27.611001157407408,sunset7,105.90000012974988,0.005468285918613,159.62644191933722,0.2480993187235263,161.43005029039008,2.330910158530702,GEO4_rock1
770108-02-M3,770206-17-M2,2,1977-01-08 02:53:34.813606,0.8191906679746649,-4.846938775510204,3,35,B,AA,repeating,3,8.395579,1977-01-08 02:53:29.966667,311.4875698764,324.496674074,27.628298225312506,sunset5,241.80000012974216,0.0053537525656873,159.7616579554114,0.2213652539438574,249.99120251479653,0.0623973980176867,GEO4_rock1
770108-02-M3,770206-17-M2,4,1977-01-08 02:53:33.005783,0.9356413992111328,-1.5391156462585036,3,35,B,AA,repeating,3,2.92449,1977-01-08 02:53:31.466667,311.4869254319556,324.49634074066665,27.62831558642361,sunset5,85.70000012975102,0.0285257006781788,159.7616579554114,0.2213652539438574,249.99120251479653,0.0623973980176867,GEO4_rock1
770108-02-M3,770206-17-M2,3,1977-01-08 02:53:33.607143,0.9225431692902076,0.0595238095238095,3,35,B,AA,repeating,3,2.110545,1977-01-08 02:53:33.666667,311.4859802467704,324.4958518517778,27.628341049386574,sunset5,77.50000012975148,0.011177426292652,159.7616579554114,0.2213652539438574,249.99120251479653,0.0623973980176867,GEO4_rock1
770108-02-M3,770206-17-M2,1,1977-01-08 02:53:33.807483,0.911171555728451,0.4591836734693878,3,35,B,AA,repeating,3,2.964627,1977-01-08 02:53:34.266667,311.4857224689926,324.49571851844445,27.628347993831017,sunset5,51.10000012975207,0.0089679650996895,159.7616579554114,0.2213652539438574,249.99120251479653,0.0623973980176867,GEO4_rock1
761209-12-N1,761209-12-N1,4,1976-12-09 12:58:17.700000,1.0,0.0,3,35,D,AA,isolated,1,1.971769,1976-12-09 12:58:17.700000,309.68728444444446,323.22273333333334,27.649857638888893,sunset4,221.1000001297433,0.0216795604654313,170.40778493377465,0.0124953592897247,190.2865559789484,0.5572901024260577,GEO4_rock1
761209-12-N1,761209-12-N1,3,1976-12-09 12:58:18.200000,1.0,0.0,3,35,D,AA,isolated,1,3.14694,1976-12-09 12:58:18.200000,309.68706962962966,323.22262222222224,27.64986342592593,sunset4,220.80000012974327,0.0108463264181103,170.40778493377465,0.0124953592897247,190.2865559789484,0.5572901024260577,GEO4_rock1
761209-12-N1,761209-12-N1,2,1976-12-09 12:58:19.600000,1.0,0.0,3,35,D,AA,isolated,1,17.767348,1976-12-09 12:58:19.600000,309.6864681481481,323.22231111111114,27.64987962962963,sunset4,219.40000012974343,0.005378307757699,170.40778493377465,0.0124953592897247,190.2865559789484,0.5572901024260577,GEO4_rock1
761209-12-N1,761209-12-N1,1,1976-12-09 12:58:20.600000,1.0,0.0,3,35,D,AA,isolated,1,10.3983,1976-12-09 12:58:20.600000,309.6860385185185,323.2220888888889,27.649891203703703,sunset4,30.20000012975177,0.0094954066729539,170.40778493377465,0.0124953592897247,190.2865559789484,0.5572901024260577,GEO4_rock1
770406-21-N2,770406-21-N2,4,1977-04-06 21:43:10.600000,1.0,0.0,3,35,D,AA,repeating,3,1.020749,1977-04-06 21:43:10.600000,305.3286222222222,320.10593185185184,27.654983796296296,sunset8,40.70000012975192,0.0285688458538247,153.18387211477474,0.4001666193466073,153.9964092608048,0.3736287146369681,GEO4_rock1
770406-21-N2,770406-21-N2,3,1977-04-06 21:43:11.700000,1.0,0.0,3,35,D,AA,repeating,3,3.976871,1977-04-06 21:43:11.700000,305.3281333333333,320.1056711111111,27.65499652777778,sunset8,35.60000012975185,0.0137569651566696,153.18387211477474,0.4001666193466073,153.9964092608048,0.3736287146369681,GEO4_rock1
770406-21-N2,770406-21-N2,1,1977-04-06 21:43:12.600000,1.0,0.0,3,35,D,AA,repeating,3,3.706123,1977-04-06 21:43:12.600000,305.3277333333333,320.10545777777776,27.655006944444445,sunset8,30.500000129751776,0.010517285877256,153.18387211477474,0.4001666193466073,153.9964092608048,0.3736287146369681,GEO4_rock1
770406-21-N2,770406-21-N2,2,1977-04-06 21:43:13.400000,1.0,0.0,3,35,D,AA,repeating,3,1.264966,1977-04-06 21:43:13.400000,305.32737777777777,320.1052681481481,27.655016203703703,sunset8,25.400000129751703,0.0048172408842524,153.18387211477474,0.4001666193466073,153.9964092608048,0.3736287146369681,GEO4_rock1
