evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,source_distance_m
770325-15-M1,770325-15-M1,1,1977-03-25 15:14:47.598075,1.0,0.0,3,35,A,AA,isolated,1,5.064967,1977-03-25 15:14:47.598075,234.82677128,225.54299202222225,15.385273125868055,sunrise8,202.3000001297444,0.0358206350892397,109.56749254574588,0.0040585551659629,102.39263869849756,0.3676547779453461,145.658121
770325-15-M1,770325-15-M1,2,1977-03-25 15:14:49.598075,1.0,0.0,3,35,A,AA,isolated,1,10.454423,1977-03-25 15:14:49.598075,234.8289046133333,225.5435846148148,15.385296274016206,sunrise8,193.8000001297449,0.0173187580738495,109.56749254574588,0.0040585551659629,102.39263869849756,0.3676547779453461,240.9397575
770325-15-M1,770325-15-M1,3,1977-03-25 15:14:48.098075,1.0,0.0,3,35,A,AA,isolated,1,8.32347,1977-03-25 15:14:48.098075,234.82730461333333,225.5431401703704,15.385278912905092,sunrise8,138.10000012974805,0.0289846480639005,109.56749254574588,0.0040585551659629,102.39263869849756,0.3676547779453461,187.1474594
770325-15-M1,770325-15-M1,4,1977-03-25 15:14:47.898075,1.0,0.0,3,35,A,AA,isolated,1,9.645919,1977-03-25 15:14:47.898075,234.82709128,225.5430809111111,15.385276598090275,sunrise8,177.6000001297458,0.0302645545950843,109.56749254574588,0.0040585551659629,102.39263869849756,0.3676547779453461,183.3230964
770325-12-M5,770325-12-M5,1,1977-03-25 12:25:53.507256,1.0,0.0,3,35,A,AA,isolated,1,4.682314,1977-03-25 12:25:53.507256,223.1802385518222,222.6172835239111,15.267980408055555,sunrise8,174.90000012974596,0.0411522009757839,61.2843368823558,103.96622524671268,98.94501578989622,2.071893747057412,145.658121
770325-12-M5,770325-12-M5,2,1977-03-25 12:25:54.707256,1.0,0.0,3,35,A,AA,isolated,1,10.87177,1977-03-25 12:25:54.707256,223.1817141073778,222.6176213016889,15.267994296944444,sunrise8,146.40000012974758,0.0160119109478761,61.2843368823558,103.96622524671268,98.94501578989622,2.071893747057412,240.9397575
770325-12-M5,770325-12-M5,3,1977-03-25 12:25:54.507256,1.0,0.0,3,35,A,AA,isolated,1,7.568368,1977-03-25 12:25:54.507256,223.18146818145183,222.6175650053926,15.267991982129631,sunrise8,137.5000001297481,0.0278532862038735,61.2843368823558,103.96622524671268,98.94501578989622,2.071893747057412,187.1474594
770325-12-M5,770325-12-M5,4,1977-03-25 12:25:53.807256,1.0,0.0,3,35,A,AA,isolated,1,9.27177,1977-03-25 12:25:53.807256,223.1806074407111,222.61736796835555,15.267983880277775,sunrise8,157.70000012974694,0.0283751288863401,61.2843368823558,103.96622524671268,98.94501578989622,2.071893747057412,183.3230964
770326-12-M5,770326-12-M5,1,1977-03-26 12:55:57.321157,1.0,0.0,3,35,A,AA,isolated,1,5.008164,1977-03-26 12:55:57.321157,292.04057128373336,252.0237141891556,16.288857883761576,sunrise8,58.40000012975217,0.0099322559449091,83.47962684563132,2.459695799092976,84.61229520620218,0.6031831125804814,145.658121
770326-12-M5,770326-12-M5,2,1977-03-26 12:55:59.121157,1.0,0.0,3,35,A,AA,isolated,1,5.019389,1977-03-26 12:55:59.121157,292.0415312837333,252.0243541891556,16.288878717094907,sunrise8,132.1000001297484,0.0049736455309269,83.47962684563132,2.459695799092976,84.61229520620218,0.6031831125804814,240.9397575
770326-12-M5,770326-12-M5,3,1977-03-26 12:55:58.621157,1.0,0.0,3,35,A,AA,isolated,1,7.390137,1977-03-26 12:55:58.621157,292.0412646170667,252.02417641137777,16.28887293005787,sunrise8,106.80000012974982,0.0081393222514891,83.47962684563132,2.459695799092976,84.61229520620218,0.6031831125804814,187.1474594
770326-12-M5,770326-12-M5,4,1977-03-26 12:55:58.121157,1.0,0.0,3,35,A,AA,isolated,1,2.209865,1977-03-26 12:55:58.121157,292.0409979504,252.0239986336,16.288867143020834,sunrise8,46.500000129752,0.0066438086391495,83.47962684563132,2.459695799092976,84.61229520620218,0.6031831125804814,183.3230964
760817-13-M1,760817-13-M1,1,1976-08-17 13:52:52.974766,1.0,0.0,3,35,A,AA,isolated,1,6.129593,1976-08-17 13:52:52.974766,100.0286385323852,235.0386385323852,2.297140911643518,night1,100.80000012975016,0.0277008067909485,110.933819913965,0.162701073558775,118.4605945525218,0.1032393998563044,145.658121
760817-13-M1,760817-13-M1,2,1976-08-17 13:52:55.074766,1.0,0.0,3,35,A,AA,isolated,1,4.046599,1976-08-17 13:52:55.074766,100.02851408794074,235.0385140879408,2.297165217199074,night1,77.60000012975148,0.0134839788872236,110.933819913965,0.162701073558775,118.4605945525218,0.1032393998563044,240.9397575
760817-13-M1,760817-13-M1,3,1976-08-17 13:52:53.274766,1.0,0.0,3,35,A,AA,isolated,1,3.202042,1976-08-17 13:52:53.274766,100.0286207546074,235.0386207546074,2.2971443838657404,night1,106.70000012974982,0.0248531279833847,110.933819913965,0.162701073558775,118.4605945525218,0.1032393998563044,187.1474594
760817-13-M1,760817-13-M1,4,1976-08-17 13:52:52.574766,1.0,0.0,3,35,A,AA,isolated,1,12.014287,1976-08-17 13:52:52.574766,100.02866223608888,235.03866223608887,2.2971362820138888,night1,116.80000012974924,0.0191258904352175,110.933819913965,0.162701073558775,118.4605945525218,0.1032393998563044,183.3230964
