evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
761227-20-M5,770126-11-M4,1,1976-12-27 20:52:48.860204,0.9255257285664408,0.739795918367347,3,35,C,AA,repeating,39,1.928912,1976-12-27 20:52:49.600000,299.6032059259259,256.8905925925926,16.37783101851852,sunrise5,74.80000012975164,0.0072860915743399,86.9444139449529,0.2640133849716871,59.35603271684684,0.8101007907506711
761227-20-N1,770126-11-M4,1,1976-12-27 20:40:29.800680,0.9011191393415656,0.7993197278911566,3,35,D,AA,repeating,39,1.864287,1976-12-27 20:40:30.600000,299.23096888888887,256.6168888888889,16.36927777777778,sunrise5,255.70000012974137,0.0051425680899064,92.24078474640235,0.0203453326749854,88.45501478460902,1.2640519077485064
761227-21-M2,770126-11-M4,1,1976-12-27 21:08:52.111373,0.9289364402470516,0.739795918367347,3,35,A,AA,repeating,39,1.889117,1976-12-27 21:08:52.851169,300.0805050159555,257.24735228481484,16.38897975890046,sunrise5,164.50000012974655,0.006549669968916,77.32639624724366,0.7598191037495919,94.3118460174272,0.1646713068436993
761227-21-M3,770126-11-M4,1,1976-12-27 21:16:50.446245,0.9385566210705312,0.5357142857142858,3,35,A,AA,repeating,39,2.117008,1976-12-27 21:16:50.981959,300.31923535712593,257.4244377625926,16.39451368008102,sunrise5,81.70000012975125,0.0069716347478225,92.64970483126994,0.0535073827070985,88.44479766501222,0.1570575632915286
761227-21-M4,770126-11-M4,1,1976-12-27 21:39:08.925510,0.9238713100296028,0.8078231292517007,3,35,B,AA,repeating,39,1.861906,1976-12-27 21:39:09.733333,300.9835693825482,257.92027160481484,16.41000848765046,sunrise5,121.400000129749,0.0070804041770605,87.32829201633781,0.2529775961977304,103.6463731675116,0.7576662460530772
761227-21-M6,770126-11-M4,1,1976-12-27 21:49:45.991496,0.9115876335053388,0.8418367346938777,3,35,B,AA,repeating,39,4.977892,1976-12-27 21:49:46.833333,301.3002296294667,258.1562345677778,16.417382330243058,sunrise5,53.90000012975211,0.0088611067881863,61.88279941592749,0.5131117916541796,99.50281003888666,0.0606713359162597
761227-21-M7,770126-11-M4,1,1976-12-27 21:55:57.071002,0.9330199658137228,0.697278911564626,3,35,A,AA,repeating,39,1.978232,1976-12-27 21:55:57.768281,301.48157560404445,258.29361788185184,16.42167555880787,sunrise5,77.40000012975149,0.006376090841701,70.33070504980465,0.7220081036264752,83.65114760085292,0.8605561755338333
761227-22-M1,770126-11-M4,1,1976-12-27 22:10:53.696755,0.9230694652290428,0.7482993197278912,3,35,A,AA,repeating,39,1.893878,1976-12-27 22:10:54.445054,301.9169220996741,258.6257203903704,16.432053762199075,sunrise5,91.2000001297507,0.005565660622059,85.91385451566974,0.3119952658188922,93.6654679890366,0.1747829251161322
770126-11-M4,770126-11-M4,1,1977-01-26 11:22:44.777739,1.0,0.0,3,35,A,AA,repeating,39,2.664627,1977-01-26 11:22:44.777739,299.3341102685333,256.93213990333334,16.356941871979167,sunrise6,80.90000012975129,0.0084818162111514,63.77048381950189,0.6972601459260795,74.60557091697686,0.2433425002983538
770126-11-M5,770126-11-M4,1,1977-01-26 11:29:49.599703,0.9501092611840416,0.4931972789115647,3,35,A,AA,repeating,39,2.130613,1977-01-26 11:29:50.092900,299.54515652888887,257.08966403703704,16.36186450115741,sunrise6,101.50000012975012,0.0086779708225647,91.53917115291084,0.0374459040289388,82.91046759231705,1.479832548434025
770126-11-M6,770126-11-M4,1,1977-01-26 11:39:08.574126,0.9332653011749316,1.1139455782312926,3,35,A,AA,repeating,39,1.514287,1977-01-26 11:39:09.688072,299.82021325108144,257.29692150814816,16.36834129712963,sunrise6,65.0000001297522,0.008294626265014,72.83919632083817,0.8893042797541826,99.33393158005246,1.6844786311786906
770126-11-M7,770126-11-M4,1,1977-01-26 11:46:28.516199,0.9528180566318672,0.0850340136054421,3,35,A,AA,repeating,39,2.591498,1977-01-26 11:46:28.601233,300.04129543588147,257.45948193814814,16.373421310567128,sunrise6,85.70000012975102,0.0083863363562115,75.65563421505904,0.7610059089860228,85.85312777043877,0.0135235269787149
770126-11-M8,770126-11-M4,1,1977-01-26 11:57:49.377211,0.912428671083619,0.7227891156462586,3,35,C,AA,repeating,39,2.280953,1977-01-26 11:57:50.100000,300.3764933333333,257.7118888888889,16.381309027777778,sunrise6,88.80000012975084,0.0063347381507942,87.47588807031809,0.1995482063825798,87.43508639457752,0.2134275414884694
770126-12-M1,770126-11-M4,1,1977-01-26 12:07:36.580612,0.935498497839232,0.5527210884353742,3,35,B,AA,repeating,39,2.113266,1977-01-26 12:07:37.133333,300.6634874072444,257.9225362961778,16.38810339505787,sunrise6,600.0,0.0064912994289246,92.53555274910728,0.0230365525360502,86.37584669287328,0.2934244783157586
770126-12-M5,770126-11-M4,1,1977-01-26 12:31:26.487355,0.9321771103914226,0.7568027210884355,3,35,A,AA,repeating,39,2.249321,1977-01-26 12:31:27.244158,301.37265269946664,258.4489793177778,16.404655603680556,sunrise6,57.20000012975216,0.0064805942839585,84.12736863285399,0.4063410254828489,94.30699867540066,0.1376510594342232
770126-12-M7,770126-11-M4,1,1977-01-26 12:44:40.131293,0.9207121086275596,0.5187074829931974,3,35,A,AA,repeating,39,2.145919,1977-01-26 12:44:40.650000,301.7508266666667,258.7428333333333,16.413838541666667,sunrise6,84.2000001297511,0.0061526365132508,93.9161261491034,0.0071352383553957,97.73408985619984,0.2942758303956804
770126-13-M1,770126-11-M4,1,1977-01-26 13:06:42.313042,0.9153877988098432,0.6037414965986395,3,35,A,AA,repeating,39,2.064967,1977-01-26 13:06:42.916783,302.3969815383556,259.23256177148147,16.429142555358798,sunrise6,65.60000012975216,0.0068925095869124,92.86246738840116,0.0122831733927637,84.61229520620218,0.6031831125804814
770126-13-M3,770126-11-M4,1,1977-01-26 13:22:06.995918,0.906511998888825,1.0374149659863947,3,35,B,AA,repeating,39,1.624831,1977-01-26 13:22:08.033333,302.8392607405778,259.57519753074075,16.43984992283565,sunrise6,60.1000001297522,0.0059649328442826,63.784676146528405,0.6516348981318139,95.7873453595721,1.2819481591087245
770126-13-M4,770126-11-M4,1,1977-01-26 13:30:25.496744,0.9148125716401412,0.0850340136054421,3,35,A,AA,repeating,39,2.926872,1977-01-26 13:30:25.581778,303.0821276577185,259.7594747325926,16.44560858539352,sunrise6,93.40000012975058,0.0058319528714831,91.21401979179372,0.0163095556257346,93.36438776655922,0.0091907777225897
770126-13-N1,770126-11-M4,1,1977-01-26 13:01:06.096259,0.9271533580219248,0.6037414965986395,3,35,D,AA,repeating,39,2.402042,1977-01-26 13:01:06.700000,302.2326088888889,259.10803703703704,16.425251157407406,sunrise6,97.50000012975036,0.0071203674272796,93.41466183814973,0.0085082857394552,80.79518606560202,0.5684207596804979
770225-01-M4,770126-11-M4,1,1977-02-25 01:41:05.895097,0.928987427856488,0.5867346938775511,3,35,A,AA,repeating,39,6.751361,1977-02-25 01:41:06.481832,298.2057093672296,256.29684512296296,16.36708891009259,sunrise7,97.10000012975036,0.0097234784585929,70.88926242813156,0.742083164409645,91.058275816554,0.1838033391876342
770225-02-M1,770126-11-M4,1,1977-02-25 02:23:16.956273,0.9308178324676232,-1.641156462585034,3,35,A,AA,repeating,39,6.296259,1977-02-25 02:23:15.315117,299.4621540572,257.22345004333334,16.396357813854166,sunrise7,187.30000012974529,0.0066773026111783,4.732439719507388,0.5963943393208053,340.2772895656507,0.9479891371121572
770225-02-M2,770126-11-M4,1,1977-02-25 02:32:20.654910,0.9458993701356172,0.6292517006802721,3,35,A,AA,repeating,39,2.031634,1977-02-25 02:32:21.284162,299.7344986890074,257.4202343687111,16.40267690002315,sunrise7,273.9000001297454,0.007689068113091,92.89438959954391,0.0064109037161203,87.21586538534041,0.3969306157953016
770225-02-M3,770126-11-M4,1,1977-02-25 02:39:34.426190,0.9103435484704924,0.7738095238095238,3,35,B,BB,repeating,39,1.907144,1977-02-25 02:39:35.200000,299.95120888888886,257.57637037037034,16.407699074074074,sunrise7,53.6000001297521,0.0059729414408694,47.497981904547416,56.422976130449086,336.5112682774585,1.38375430478977
770225-02-M4,770126-11-M4,1,1977-02-25 02:46:31.295918,0.9221418205040172,1.0374149659863947,3,35,B,BB,repeating,39,1.957484,1977-02-25 02:46:32.333333,300.1551407405778,257.73086419740736,16.412527006168983,sunrise7,60.90000012975221,0.005746728114892,86.94141739392946,0.5916260362992714,120.28790934837582,2.6546731490224973
770225-02-M5,770126-11-M4,1,1977-02-25 02:54:05.895098,0.9360295695788178,0.7482993197278912,3,35,A,AA,repeating,39,2.258164,1977-02-25 02:54:06.643397,300.37724788297777,257.8991271840741,16.417785224502314,sunrise7,191.30000012974503,0.0066164501241196,91.64087307481525,0.0340613704702177,307.01004559915714,0.1185480120628747
770225-03-M1,770126-11-M4,1,1977-02-25 03:01:31.749660,0.9228990526657994,0.0170068027210884,3,35,B,AA,repeating,39,2.991837,1977-02-25 03:01:31.766667,300.5935041976889,258.06262814826664,16.42293711420139,sunrise7,67.00000012975208,0.0058106636394268,75.64779988117759,0.7486249650784131,96.99054477970697,0.0318326297531766
770225-03-M2,770126-11-M4,1,1977-02-25 03:16:27.192177,0.9118860453159884,0.8078231292517007,3,35,B,AA,repeating,39,2.192178,1977-02-25 03:16:28.000000,301.0230222222222,258.3859259259259,16.433310185185185,sunrise7,61.80000012975222,0.0058276244626787,87.92540074391783,0.2337983110704125,45.74007016049077,0.2916139813382112
770225-03-M4,770126-11-M4,1,1977-02-25 03:34:13.322902,0.9263572331220522,0.9863945578231292,3,35,A,AA,repeating,39,1.641497,1977-02-25 03:34:14.309297,301.543894777837,258.78042108337775,16.44565172797454,sunrise7,103.10000012975004,0.0071935244534798,88.00923157725423,0.2219206773842562,94.4683434895264,2.8869351847371774
760831-16-M5,770126-11-M4,2,1976-08-31 16:38:08.590518,0.8476697022700568,0.2040816326530612,3,35,A,AA,repeating,39,15.52177,1976-08-31 16:38:08.794600,294.3189662488889,250.0437936355556,16.411907344907405,sunrise1,145.9000001297476,0.0035423424034406,92.77342761314029,0.0052878141202177,87.33345979647926,0.6126437762691578
760831-17-M2,770126-11-M4,2,1976-08-31 17:10:28.447417,0.816011296022712,-1.2244897959183674,3,35,A,AA,repeating,39,16.990817,1976-08-31 17:10:27.222927,295.28664231986664,250.74897145444444,16.43434285795139,sunrise1,163.00000012974664,0.0046734551572972,54.04798347619056,0.3512574068781297,4.495833515854135,3.025828265709844
761029-16-M4,770126-11-M4,2,1976-10-29 16:50:35.224830,0.8589987095748385,0.8418367346938777,3,35,B,AA,repeating,39,10.555783,1976-10-29 16:50:36.066667,296.9826113581926,254.52949037048887,16.389306327164352,sunrise3,86.60000012975097,0.0035527121039535,75.83206341633388,3.004811154831636,96.2052464433454,0.1057378401733438
761029-17-M3,770126-11-M4,2,1976-10-29 17:15:40.670237,0.8617056448646224,-0.0850340136054421,3,35,A,AA,repeating,39,3.237756,1976-10-29 17:15:40.585203,297.73984165480005,255.0844302944,16.406719736145835,sunrise3,323.20000012975663,0.0047317181658101,76.63145766781007,0.7335640096066453,85.44923987982355,0.7546549788059786
761029-17-M4,770126-11-M4,2,1976-10-29 17:27:24.074490,0.8318366237610723,0.0255102040816326,3,35,B,AA,repeating,39,25.826872,1976-10-29 17:27:24.100000,298.08480592592593,255.3355925925926,16.41486226851852,sunrise3,95.10000012975048,0.0029340596524803,92.5340901695622,0.1081840638058851,76.7939046103258,0.907021510249509
761029-17-M5,770126-11-M4,2,1976-10-29 17:39:38.353061,0.8354062738899013,0.6802721088435375,3,35,B,AA,repeating,39,10.602722,1976-10-29 17:39:39.033333,298.4530829628,255.60779012333333,16.423368441354167,sunrise3,88.40000012975086,0.0030072852093283,91.09673245985336,0.0665663142494505,89.34493670279969,0.3338858914810704
761029-18-M3,770126-11-M4,2,1976-10-29 18:33:59.848980,0.8094641207273219,0.0510204081632653,3,35,C,AA,repeating,39,43.319389,1976-10-29 18:33:59.900000,300.0570637037037,256.8052977777778,16.4611099537037,sunrise3,215.3000001297437,0.0029589242010184,86.5415766129249,0.1661830324632987,72.27843168850607,0.2462518837103441
761227-20-M2,770126-11-M4,2,1976-12-27 20:17:27.908844,0.8419764947781335,0.391156462585034,3,35,B,AA,repeating,39,7.904083,1976-12-27 20:17:28.300000,298.53469925925924,256.10492592592595,16.353278935185187,sunrise5,46.000000129752,0.0038265813872306,72.0613407523228,3.4332312098449784,91.3527131239824,0.2823142240655161
761227-20-M3,770126-11-M4,2,1976-12-27 20:26:10.887075,0.857058850120778,-0.1870748299319728,3,35,B,AA,repeating,39,15.912246,1976-12-27 20:26:10.700000,298.7978340740741,256.2984074074074,16.35932523148148,sunrise5,118.80000012974914,0.0037871603716908,72.02466367629722,0.8522374611074965,81.3229186574947,0.7789644123754332
