evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source,source_distance_m
760916-04-N1,760916-04-N1,3,1976-09-16 04:52:02.800000,1.0,0.0,3,35,D,BB,isolated,1,3.274831,1976-09-16 04:52:02.800000,104.60161185185184,244.56201481481483,2.429372685185185,night2,33.70000012975182,0.0062632923588182,347.8994338511603,102.7575388592974,132.69550652528233,16.826079867525994,R2,25.669236451441247
760916-04-N1,760916-04-N1,1,1976-09-16 04:52:04.100000,1.0,0.0,3,35,D,BB,isolated,1,1.626191,1976-09-16 04:52:04.100000,104.6015348148148,244.56191851851847,2.4293877314814813,night2,476.6000001297915,0.0031045540754822,347.8994338511603,102.7575388592974,132.69550652528233,16.826079867525994,R2,37.18288736771259
760916-04-N1,760916-04-N1,2,1976-09-16 04:52:05.300000,1.0,0.0,3,35,D,BB,isolated,1,0.375171,1976-09-16 04:52:05.300000,104.6014637037037,244.56182962962964,2.42940162037037,night2,22.800000129751663,0.0034835846263332,347.8994338511603,102.7575388592974,132.69550652528233,16.826079867525994,R2,63.41094325903061
770124-19-M1,761028-01-M1,3,1977-01-24 19:25:26.874125,0.9135926781544652,0.0085034013605442,3,35,A,AA,repeating,2,0.925511,1977-01-24 19:25:26.882628,108.21684805368888,213.42572290026663,14.692151419305556,sunrise6,65.0000001297522,0.010750302039822,348.5588874389476,0.3203638509666294,351.0931031412422,0.1662457057273542,R2,25.669236451441247
770124-19-M1,761028-01-M1,1,1977-01-24 19:25:27.080587,0.9175120529575036,0.1020408163265306,3,35,A,AA,repeating,2,2.691838,1977-01-24 19:25:27.182628,108.21888360924444,213.4257495669333,14.692154891527776,sunrise6,51.70000012975208,0.0088421601962783,348.5588874389476,0.3203638509666294,351.0931031412422,0.1662457057273542,R2,37.18288736771259
770124-19-M1,761028-01-M1,2,1977-01-24 19:25:27.276165,0.8987753573500943,-0.0935374149659864,3,35,A,AA,repeating,2,1.69694,1977-01-24 19:25:27.182628,108.21888360924444,213.4257495669333,14.692154891527776,sunrise6,49.60000012975205,0.0070850127888645,348.5588874389476,0.3203638509666294,351.0931031412422,0.1662457057273542,R2,63.41094325903061
770124-19-M1,761028-01-M1,4,1977-01-24 19:25:28.380587,0.8651304414381068,0.1020408163265306,3,35,A,AA,repeating,2,3.942858,1977-01-24 19:25:28.482628,108.22770434998516,213.4258651224889,14.692169937824074,sunrise6,75.70000012975159,0.0042366491817571,348.5588874389476,0.3203638509666294,351.0931031412422,0.1662457057273542,R2,79.08160886704316
761028-01-M1,761028-01-M1,3,1976-10-28 01:02:47.307639,1.0,0.0,3,35,A,AA,repeating,2,0.936055,1976-10-28 01:02:47.307639,96.97940137928887,212.11324786008888,14.73110309767361,sunrise3,52.40000012975209,0.0113043528546792,347.73909678585704,0.3458007862459762,357.414975478936,0.4386203609010953,R2,25.669236451441247
761028-01-M1,761028-01-M1,1,1976-10-28 01:02:47.507639,1.0,0.0,3,35,A,AA,repeating,2,2.785375,1976-10-28 01:02:47.507639,96.9806398978074,212.1132597119408,14.731105412488423,sunrise3,48.100000129752026,0.0088807987444134,347.73909678585704,0.3458007862459762,357.414975478936,0.4386203609010953,R2,37.18288736771259
761028-01-M1,761028-01-M1,2,1976-10-28 01:02:47.707639,1.0,0.0,3,35,A,AA,repeating,2,5.842178,1976-10-28 01:02:47.707639,96.98187841632593,212.11327156379247,14.73110772730324,sunrise3,67.00000012975208,0.0079990331023948,347.73909678585704,0.3458007862459762,357.414975478936,0.4386203609010953,R2,63.41094325903061
