evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source
760831-14-M4,760831-14-M4,1976-08-31 14:40:59.383333,AA,isolated,290.71856913562965,247.4844474072889,16.330548418206018,0.005815960745022,247.4844474072889,3.62814725,129.69956176050584,64.70142582230218,244.5604157310828,2.325854214305698,geophone_rock
760909-03-N1,760909-03-N1,1976-09-09 03:44:23.000000,AA,isolated,366.7260296296296,353.8132888888889,24.87457175925926,0.009976434046562,353.8132888888889,1.4948985,194.1481374344812,6.987061019727378,222.8961375844983,0.5110326814818738,geophone_rock
761001-18-M1,761001-18-M1,1976-10-01 18:31:57.200000,BB,isolated,345.0828503704544,299.896462222326,17.998752314818674,0.0076958081273458,299.896462222326,4.364626666666666,283.8030310673227,48.33989820300989,240.10758398064416,1.425769861057634,geophone_rock
761011-12-M1,761011-12-M1,1976-10-11 12:33:37.500000,BB,isolated,300.59355555555555,317.08177777777775,27.74991319444445,0.0083241555796618,317.08177777777775,2.9416110000000004,227.8809932813365,59.6819044085367,258.54244974637083,14.951547087760764,geophone_rock
760929-13-M1,761028-23-M3,1976-09-29 13:25:00.495251,AA,repeating,262.9237075229778,234.1379465299704,15.785596009849538,0.0100012678391561,234.1379465299704,2.10102125,165.57349624054524,2.7119079250666807,167.71409339444935,3.07831969216248,geophone_rock
761028-23-M3,761028-23-M3,1976-10-28 23:47:26.153114,AA,repeating,258.3369224912,232.6631336536593,15.678774920300926,0.0118553266055702,232.6631336536593,1.73758575,165.30047293289445,1.5130010661791156,175.69357062008285,13.350033144693755,geophone_rock
770424-09-M1,761028-23-M3,1977-04-24 09:32:24.390663,AA,repeating,251.5207356808,230.7637273272,15.6240670215625,0.0150697979148447,230.7637273272,4.17117425,284.8898737033413,18.882641116141105,82.46425668825697,0.5869856719184411,geophone_rock
760830-23-M2,761028-23-M3,1976-08-30 23:53:49.919646,AA,repeating,256.7694183887111,228.6693812179556,15.714466662569444,0.0095284303035769,228.6693812179556,3.3170925,156.2189621267187,4.870032193522038,120.0091948832251,1.005258902507438,geophone_rock
770125-16-M1,761028-23-M3,1977-01-25 16:17:44.398339,AA,repeating,255.18882526404448,232.3293505451408,15.561798591886577,0.0122454817809686,232.3293505451408,2.3836742500000003,154.30676874479056,2.1769160976808943,66.3595810915173,0.8393693752137307,geophone_rock
761227-01-M1,761028-23-M3,1976-12-27 01:17:59.566840,AA,repeating,253.9609611365925,231.59519215525927,15.56197415324074,0.0090532347318637,231.59519215525927,2.25977975,179.99015480454815,6.145329476216727,212.1766871588272,2.43888747284157,geophone_rock
