evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,mean_amplitude,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
760830-09-M5,761226-15-M1,1,1976-08-30 09:47:01.090694,0.9283849922382074,-0.2040816326530612,3,35,A,AA,repeating,362,5.87313,1976-08-30 09:47:00.886612,200.33058223028144,213.57865460432595,15.126399150601852,sunrise1,205.10000012974425,0.0350881398153512,0.007623751006719,108.52527756509305,0.0061069678231502385,63.17445299133818,1.1939732144818496
760830-09-M8,761226-15-M1,1,1976-08-30 09:53:43.678571,0.9425890211167988,-0.1785714285714285,3,35,C,AA,repeating,362,5.843539,1976-08-30 09:53:43.500000,200.99862222222225,213.6740888888889,15.131059027777775,sunrise1,600.0,0.038083982259169,0.0078562198010673,48.55356731765756,1.6036287921654853,78.04816554061131,2.840910188711865
760830-10-M10,761226-15-M1,1,1976-08-30 10:39:55.470261,0.9563325110023462,0.1615646258503401,3,35,A,AA,repeating,362,5.503062,1976-08-30 10:39:55.631826,205.4353625712,214.3600109784,15.163143886875,sunrise1,112.90000012974949,0.029103866796861,0.0067199876766832,104.79368306487328,0.007288934051006872,60.59159655455229,1.3180289864212742
760830-10-M11,761226-15-M1,1,1976-08-30 10:44:37.876539,0.9684035290647812,0.1530612244897959,3,35,A,AA,repeating,362,4.544219,1976-08-30 10:44:38.029600,205.8728159762963,214.4311333807408,15.16641237962963,sunrise1,207.9000001297441,0.0371112381288623,0.0079334764822703,79.55729051583504,1.5864844680832964,81.13752052472195,4.514242169906753
760830-10-M13,761226-15-M1,1,1976-08-30 10:56:13.416466,0.9634058570961156,-0.1445578231292517,3,35,A,AA,repeating,362,4.835715,1976-08-30 10:56:13.271908,206.93738866097777,214.6062314434963,15.174459165601853,sunrise1,283.70000012974765,0.033560953546055,0.0065283539423899,90.13796627675767,0.028193274448201945,73.97257473268019,3.607018561237593
760830-10-M16,761226-15-M1,1,1976-08-30 10:50:00.742517,0.9633840325002612,-0.042517006802721,3,35,C,AA,repeating,362,5.699661,1976-08-30 10:50:00.700000,206.36996740740744,214.51239851851847,15.17014699074074,sunrise1,134.10000012974828,0.0307169038382559,0.0066754751800096,104.62961079368064,0.006984656517684915,45.74007016049077,0.2916139813382112
760830-10-M2,761226-15-M1,1,1976-08-30 10:05:55.268300,0.9484523561272192,0.2636054421768707,3,35,A,AA,repeating,362,5.394559,1976-08-30 10:05:55.531905,202.19605199333333,213.8562080353333,15.139531619270835,sunrise1,110.9000001297496,0.0339995309770515,0.0078434262904881,104.76222458765095,0.003648536324430121,76.65887686468844,1.2037293321170184
760830-10-M4,761226-15-M1,1,1976-08-30 10:11:08.645965,0.95336156451768,-0.0850340136054421,3,35,A,AA,repeating,362,5.913606,1976-08-30 10:11:08.560931,202.7029354293185,213.9318070354963,15.143154640405092,sunrise1,199.50000012974456,0.0333044283922185,0.0069909155618732,106.20431145941195,0.019966227871853825,73.81084617225794,3.6616787218675895
760830-10-M5,761226-15-M1,1,1976-08-30 10:15:57.050901,0.9593639033770952,-0.1785714285714285,3,35,A,AA,repeating,362,5.835035,1976-08-30 10:15:56.872330,203.1685049477037,214.00014751525924,15.146491577893515,sunrise1,168.30000012974634,0.034132645056791,0.007527637078169,102.49323985619677,0.048224078226118766,46.14212200276692,0.30137586249360293
760830-10-M6,761226-15-M1,1,1976-08-30 10:20:55.268750,0.9644016698607292,-0.6717687074829932,3,35,A,AA,repeating,362,6.326531,1976-08-30 10:20:54.596981,203.64351525905184,214.07263923965925,15.149937465057867,sunrise1,151.5000001297473,0.0325408168350121,0.0068365656530234,81.89410397201038,1.3337968527350994,54.749897491042276,0.13586681223578617
