evid,mean_arrival_time,grade,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,PGV_geo1,PGV_geo2,PGV_geo3,PGV_geo4,PGV_mean_124,PGV_mean_123,PGV_mean_234,PGV_mean_134
761106-19-N2,1976-11-06T19:48:47.000000,D,375.59973333333335,361.0532148148149,24.51304398148148,sunset3,0.0020094991019065,0.0037720448751099,0.0044482706198701,0.0088692544141814,0.0048835994637326,0.0034099381989621,0.0056965233030537,0.0051090080453193
761106-19-N1,1976-11-06T19:52:02.000000,D,375.5737333333333,361.0416592592593,24.515300925925924,sunset3,0.0028460535451031,0.0032986106651377,0.0033884075074092,0.0041191342629732,0.003421266157738,0.0031776905725499,0.00360205081184,0.0034511984384951
761106-20-M2,1976-11-06T20:25:39.666667,B,375.3147111110667,360.9026172839259,24.538653549386574,sunset3,0.0029118012744799,0.003169310814031,0.0038138436271398,0.0036301943458157,0.0032371021447755,0.0032983185718835,0.0035377829289955,0.0034519464158118
761106-20-M1,1976-11-06T20:38:58.000000,C,375.2182666666667,360.8447851851852,24.54789351851852,sunset3,0.003914632194807,0.0034389092676735,0.0033288374707258,0.003080249704556,0.0034779303890121,0.0035607929777354,0.0032826654809851,0.0034412397900296
761106-21-M1,1976-11-06T21:01:53.173260,A,375.034910232,360.7532934364445,24.56380987569445,sunset3,0.0223490816999037,0.022560352407405,0.0259433615037226,0.0223242251591238,0.0224112197554775,0.0236175985370104,0.0236093130234171,0.02353888945425
761106-21-M3,1976-11-06T21:51:38.666667,B,374.6468444444,360.5463753086222,24.59836419753472,sunset3,0.0062279847396845,0.0062760741675073,0.0068862009299345,0.0066739997222762,0.0063926862098226,0.0064634199457087,0.0066120916065726,0.0065960617972984
761106-21-M2,1976-11-06T21:56:38.000000,C,374.60693333333336,360.5282962962963,24.601828703703703,sunset3,0.0024206377507888,0.0015315273203627,0.0021810811219244,0.0021161381789845,0.0020227677500453,0.0020444153976919,0.0019429155404238,0.0022392856838992
761106-22-M3,1976-11-06T22:04:29.333333,B,374.54408888893335,360.49338271607405,24.607283950613425,sunset3,0.0049537833826011,0.0048457911753646,0.0059107595388099,0.0055789198422313,0.0051261648000656,0.0052367780322585,0.0054451568521352,0.0054811542545474
761106-22-N1,1976-11-06T22:16:38.000000,D,374.4469333333333,360.4394074074074,24.615717592592592,sunset3,0.0042857817103626,0.0031614870680772,0.003219275431104,0.0031422559914152,0.0035298415899516,0.0035555147365146,0.0031743394968654,0.0035491043776272
761106-22-N2,1976-11-06T22:17:52.000000,D,374.4370666666667,360.433925925926,24.61657407407408,sunset3,0.0033282612948381,0.0030647571681646,0.0035147330249569,0.0038020057112199,0.0033983413914075,0.0033025838293198,0.0034604986347804,0.0035483333436716
761106-22-N3,1976-11-06T22:19:53.000000,D,374.4209333333333,360.424962962963,24.61797453703704,sunset3,0.0090742796376372,0.0036591971609269,0.0055806402999518,0.0060337615250283,0.0062557461078641,0.0061047056995052,0.005091199661969,0.0068962271542057
761106-22-M4,1976-11-06T22:20:31.000000,B,374.41586666666666,360.42214814814815,24.61841435185185,sunset3,0.0090728688898413,0.0036597517797814,0.005580381203004,0.0060342379216407,0.0062556195304211,0.0061043339575422,0.005091456968142,0.006895829338162
761106-22-N4,1976-11-06T22:24:12.000000,D,374.3864,360.40577777777776,24.62097222222222,sunset3,0.0034087670025239,0.0026154358539165,0.0030410993143907,0.0025795362642615,0.0028679130402339,0.003021767390277,0.0027453571441895,0.003009800860392
761106-22-M1,1976-11-06T22:34:37.333333,B,374.3030222222666,360.35945679014816,24.62820987653935,sunset3,0.00282276435745,0.0033552187540478,0.0031937720493673,0.0031318713689118,0.0031032848268032,0.003123918386955,0.0032269540574423,0.0030494692585763
761106-22-M2,1976-11-06T22:46:01.666667,B,374.21177777773335,360.3087654320741,24.636130401238425,sunset3,0.0085246758412864,0.0090738146485281,0.0093813590592166,0.0093471285423723,0.0089818730107289,0.0089932831830103,0.0092674340833723,0.0090843878142917
761106-23-N5,1976-11-06T23:04:16.000000,D,374.0658666666666,360.2277037037037,24.648796296296297,sunset3,0.0046653840424428,0.0046097565297625,0.0131051272298567,0.0045960441957652,0.0046237282559901,0.007460089267354,0.0074369759851281,0.0074555184893549
761106-23-M1,1976-11-06T23:09:24.000000,C,374.0248,360.2048888888889,24.652361111111112,sunset3,0.0061522978614628,0.0060437144169744,0.0053804947689732,0.006253797177613,0.00614993648535,0.0058588356824701,0.0058926687878535,0.0059288632693496
761106-23-N4,1976-11-06T23:14:41.000000,D,373.9825333333334,360.1814074074074,24.65603009259259,sunset3,0.0033090062330178,0.0033413088041268,0.0039071722641121,0.0032944435505179,0.0033149195292208,0.0035191624337522,0.0035143082062522,0.0035035406825492
761106-23-N6,1976-11-06T23:17:55.000000,D,373.95666666666665,360.16703703703706,24.65827546296296,sunset3,0.0039683088711537,0.0040372642306694,0.0046232469398061,0.0052570874935827,0.0044208868651352,0.004209606680543,0.004639199554686,0.0046162144348475
761106-23-N7,1976-11-06T23:21:36.000000,D,373.9272,360.15066666666667,24.660833333333333,sunset3,0.0072709322263771,0.0063303054101141,0.0066721215502537,0.0060509201400088,0.0065507192588333,0.0067577863955816,0.0063511157001255,0.0066646579722132
761106-23-N1,1976-11-06T23:24:47.000000,D,373.9017333333333,360.1365185185185,24.663043981481483,sunset3,0.0053845613935732,0.0057994911804312,0.0047798902063687,0.0055924683588024,0.0055921736442689,0.0053213142601243,0.0053906165818674,0.0052523066529147
761106-23-N2,1976-11-06T23:31:54.000000,D,373.8448,360.10488888888887,24.667986111111112,sunset3,0.0049613307290237,0.004184290175778,0.0051311597324215,0.0057456634684786,0.0049637614577601,0.0047589268790743,0.0050203711255593,0.0052793846433079
761106-23-N3,1976-11-06T23:41:49.000000,D,373.7616296296296,360.0608148148148,24.674872685185186,sunset3,0.0039087775334367,0.0040976469222221,0.0037274356313305,0.0033339815465917,0.0037801353340835,0.0039112866956631,0.0037196880333814,0.0036567315704529
761106-23-M2,1976-11-06T23:44:58.744364,A,373.7335193534815,360.0467596767407,24.677068800509257,sunset3,0.0064788429278238,0.0079786590285235,0.0064351865436684,0.0070983629893585,0.0071852883152352,0.0069642295000052,0.0071707361871834,0.0066707974869502
761106-23-M3,1976-11-06T23:50:15.392253,A,373.6879476996,360.02330427755555,24.680733706631944,sunset3,0.0051365323919712,0.0048830014194936,0.0059904459888532,0.0077796807328203,0.0059330715147617,0.0053366599334393,0.006217709380389,0.0063022197045482
761106-23-M4,1976-11-06T23:56:16.333333,B,373.6398222222667,359.99656790125925,24.68491126542824,sunset3,0.0042180093447975,0.0049236578522265,0.0046584579706018,0.0046872799925831,0.0046096490632023,0.0046000417225419,0.0047564652718038,0.0045212491026608
761107-00-N5,1976-11-07T00:13:45.000000,D,373.5,359.9188888888889,24.69704861111111,sunset3,0.0033957850896888,0.0027982482448988,0.0033883013634571,0.0038489282699845,0.0033476538681907,0.0031941115660149,0.0033451592927801,0.0035443382410434
761107-00-M1,1976-11-07T00:24:53.031405,A,373.4088101622222,359.8694050811111,24.70478045607639,sunset3,0.0132786296192845,0.009636734734622,0.0120311807143198,0.0102638917642471,0.0110597520393845,0.0116488483560754,0.0106439357377296,0.0118579006992838
