,evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
4849,770115-15-M1,761217-15-M1,1977-01-15 15:09:47.050174,AA,repeating,94.65260592077037,232.99260592077042,5.514607062199074,0.02118921115400335,232.99260592077042,3.475596,75.3347025624465,1.9520640007874035,59.05175291730162,0.8950665038322076
4850,770115-15-M2,770115-15-M2,1977-01-15 15:45:07.050000,AA,isolated,94.58989555555557,232.8997911111111,5.539144097222222,0.0038148518216184254,232.8997911111111,31.3386065,313.19963695423195,0.3723394042829966,153.4830593759523,0.0588014915357218
4851,770115-15-N1,770115-15-N1,1977-01-15 15:19:34.475000,AA,isolated,94.63520074074074,232.96780111111113,5.521405960648149,0.0034278624243622244,232.96780111111113,37.142773,22.527783803098465,4.764436709911227,127.9893877236927,0.0866213941257031
4852,770115-22-M1,761217-15-M1,1977-01-15 22:08:55.237295,AA,repeating,93.98747445051852,231.98747445051853,5.805674042766203,0.02633233370223203,231.98747445051853,3.9528920000000003,75.71046534362362,3.6718200701235135,60.492629622172046,1.3826577540750815
4853,770115-22-M2,770115-22-M2,1977-01-15 22:48:14.360742,AA,repeating,93.92378724826668,231.9013617448,5.832978712291667,0.004620031135056476,231.9013617448,20.31258625,135.9240151132529,2.1380778090375525,170.90075989650828,5.542648314936812
4854,770116-03-M1,770116-17-M2,1977-01-16 03:14:01.084445,AA,repeating,93.5175394897037,231.29261846911115,6.017547273668981,0.008703162423162,231.29261846911115,5.3187935,60.60872603277828,0.2280381409363552,97.6975089231381,0.1037736594722077
4855,770116-05-M1,770116-05-M1,1977-01-16 05:13:57.730070,BB,isolated,93.34184503496296,231.021845034963,6.100841783217593,0.0046825120270902,231.021845034963,12.645352333333333,347.7500416178108,0.5463770699439559,145.2980888956999,66.53513724160112
4856,770116-05-M2,761217-15-M1,1977-01-16 05:54:31.582400,AA,repeating,93.27973089185187,230.92973089185188,6.12901137037037,0.022519405824438878,230.92973089185188,5.2013615,75.80853984835213,2.8833296944079416,105.77137223028704,0.7807123361179457
4857,770116-14-M1,761217-15-M1,1977-01-16 14:31:41.403410,AA,repeating,92.54516439392593,229.80549318177776,6.48815281724537,0.027319159790000727,229.80549318177776,5.129167499999999,75.77935512518054,2.5104979190084897,57.05362824024383,0.4899886001760133
4858,770116-17-M1,770215-06-M1,1977-01-16 17:04:55.491399,AA,repeating,92.33791136595555,229.48686704893333,6.594565872673611,0.004097984841073775,229.48686704893333,33.264286750000004,167.35753307632388,142.95629341334322,354.45039246890195,0.0089374776291921
4859,770116-17-M2,770116-17-M2,1977-01-16 17:36:36.143934,AA,repeating,92.2915957352889,229.42159573528886,6.616564165902778,0.01122155929522775,229.42159573528886,6.921174499999999,110.13435755498335,0.0103026671595188,75.62936775770069,0.3547290799029105
4860,770117-06-M1,770215-22-M1,1977-01-17 06:47:13.763488,AA,repeating,91.2680183186963,227.82603663739263,7.165610688518519,0.009858802079293075,227.82603663739263,9.4036575,197.37897195546236,0.985879072771814,140.72087158841592,0.2436077871857906
4861,770117-12-M2,770117-12-M2,1977-01-17 12:47:56.200000,AA,isolated,90.82738962962962,227.13477925925926,7.416101851851851,0.0024830840637403502,227.13477925925926,21.431803499999997,259.89433676338285,6.588587008776188,101.2610878982039,0.0551790104542742
4862,770117-21-M1,761217-15-M1,1977-01-17 21:12:14.505312,AA,repeating,90.23911843982222,226.20823687964443,7.766313718888889,0.02860893847909345,226.20823687964443,4.25646325,76.81615185159468,2.8571177179899725,98.49112386311523,2.9806933042523944
4863,770117-21-N1,770117-21-N1,1977-01-17 21:05:44.800000,AA,isolated,90.24489185185183,226.21978370370368,7.76180324074074,0.004282524030362325,226.21978370370368,14.819048250000002,94.75617401843928,1.1294632878210962,151.60542744316007,0.6958160649285163
4864,770118-00-M1,761120-02-M1,1977-01-18 00:37:31.819469,AA,repeating,90.00663971157039,225.84327942314073,7.908875225335648,0.012389467562332074,225.84327942314073,5.120154,65.26331927734286,0.2806233865509352,75.88072908063127,0.5604212072507233
4865,770118-00-M2,770118-00-M2,1977-01-18 00:52:45.050682,AA,isolated,89.98622072053334,225.81622072053335,7.919445031041667,0.004510892604381975,225.81622072053335,43.236566249999996,129.1279252194226,0.0248961709893383,229.30229636047895,0.1101087232725719
4866,770118-09-M1,760920-05-M1,1977-01-18 09:37:56.425000,AA,repeating,89.41627518518519,224.90255037037036,8.284160011574073,0.02527297359781725,224.90255037037036,5.962756,76.83967574764308,3.570756495172791,83.75850829297855,4.276644170537063
4867,770118-21-M1,770118-21-M1,1977-01-18 21:08:49.500000,BB,isolated,88.70215555555062,223.7543111111012,8.763940972226079,0.0021015221465318337,223.7543111111012,22.451248000000003,99.73623499422874,0.5906986047900322,204.83987102369696,138.1038916580629
4868,770118-21-N1,770118-21-N1,1977-01-18 21:01:28.300000,CC,isolated,88.70869185185185,223.76738370370373,8.75883449074074,0.0028373096975877,223.76738370370373,5.188096,-1.0,-1.0,-1.0,-1.0
4869,770118-23-M1,761220-05-M1,1977-01-18 23:05:16.556527,AA,repeating,88.58864360700741,223.5672872140148,8.844809682025463,0.0131868201714764,223.5672872140148,28.649915999999997,358.1974414331789,2.2027704485231627,52.09699492959146,0.0842311460074412
4870,770119-00-M1,770119-00-M1,1977-01-19 00:14:49.873357,AA,isolated,88.5168166910074,223.4536333820148,8.893111960150463,0.0055319228431124755,223.4536333820148,8.62347025,53.30812748228167,0.077804722899597,53.612025616303605,2.629907576956435
4871,770119-01-M1,770121-13-M1,1977-01-19 01:23:03.715616,AA,repeating,88.45616717605925,223.35233435211848,8.940494393703704,0.02474610705907015,223.35233435211848,6.22364025,102.38779063200028,0.8264224182094911,80.01000735110301,2.797207995169723
4872,770119-02-M1,761120-03-M1,1977-01-19 02:39:37.564449,AA,repeating,88.3781101563111,223.22622031262222,8.993663940381943,0.006025890103674775,223.22622031262222,28.76496725,345.6333215182432,0.976711619634838,234.5032363357216,0.503480713806461
4873,770119-12-M1,761120-02-M1,1977-01-19 12:39:09.964947,AA,repeating,87.81037140897777,222.30037140897778,9.410011168368055,0.013467849897741776,222.30037140897778,8.39141225,34.75564709990196,0.667981862069506,83.15496843217798,2.3637568787675973
