evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,mean_amplitude,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
761230-20-M4,761230-20-M4,4,1976-12-30 20:56:59.100000,1.0,0.0,3,35,C,CC,isolated,1,27.728233,1976-12-30 20:56:59.100000,373.5532,335.62248,19.38071875,sunrise5,179.7000001297457,0.011562742051744,0.0017370484094758,-1.0,-1.0,-1.0,-1.0
770101-07-N6,770101-07-N6,3,1977-01-01 07:52:08.300000,1.0,0.0,3,35,D,CC,isolated,1,54.057144,1977-01-01 07:52:08.300000,386.9687140740741,356.1474281481481,20.83568634259259,sunrise5,143.90000012974772,0.0043528931288612,0.0008593437706758,-1.0,-1.0,-1.0,-1.0
770101-07-N6,770101-07-N6,4,1977-01-01 07:52:09.800000,1.0,0.0,3,35,D,CC,isolated,1,13.662585,1977-01-01 07:52:09.800000,386.96880296296297,356.1476059259259,20.835703703703704,sunrise5,186.3000001297453,0.0046043043850017,0.0007854957605205,-1.0,-1.0,-1.0,-1.0
770101-17-M2,770101-17-M2,2,1977-01-01 17:09:16.000000,1.0,0.0,3,35,C,CC,isolated,1,6.724491,1977-01-01 17:09:16.000000,388.8447111111111,359.78432592592594,21.22258101851852,sunrise5,600.0,0.0067360602309394,0.0009558065518163,-1.0,-1.0,-1.0,-1.0
770101-17-M2,770101-17-M2,4,1977-01-01 17:09:15.000000,1.0,0.0,3,35,C,CC,isolated,1,7.27381,1977-01-01 17:09:15.000000,388.8446666666667,359.78422222222224,21.22256944444445,sunrise5,177.5000001297458,0.005695577781715,0.0011004737455318,-1.0,-1.0,-1.0,-1.0
761230-05-M2,761230-05-M2,2,1976-12-30 05:22:55.500000,1.0,0.0,3,35,C,CC,isolated,1,7.777212,1976-12-30 05:22:55.500000,363.9286222222223,322.6897555555556,18.732065972222223,sunrise5,38.10000012975188,0.0051634296621318,0.0010621140971956,-1.0,-1.0,-1.0,-1.0
761230-05-M2,761230-05-M2,3,1976-12-30 05:22:55.800000,1.0,0.0,3,35,C,CC,isolated,1,31.77143,1976-12-30 05:22:55.800000,363.92868444444446,322.6898311111111,18.732069444444445,sunrise5,38.00000012975188,0.00482987910362,0.001007113966143,-1.0,-1.0,-1.0,-1.0
770101-21-N4,770101-21-N4,2,1977-01-01 21:32:48.300000,1.0,0.0,3,35,D,CC,isolated,1,31.881974,1977-01-01 21:32:48.300000,389.49832,361.25496,21.40559375,sunrise5,143.10000012974777,0.0055377318964493,0.0006590138626123,-1.0,-1.0,-1.0,-1.0
770101-21-N4,770101-21-N4,4,1977-01-01 21:32:48.900000,1.0,0.0,3,35,D,CC,isolated,1,4.513266,1977-01-01 21:32:48.900000,389.4983377777778,361.25501333333335,21.405600694444445,sunrise5,143.50000012974775,0.0071828759251599,0.00078697476552,-1.0,-1.0,-1.0,-1.0
761230-13-N7,761230-13-N7,3,1976-12-30 13:45:58.900000,1.0,0.0,3,35,D,CC,isolated,1,64.025172,1976-12-30 13:45:58.900000,369.4204711111111,329.9572948148148,19.08141087962963,sunrise5,600.0,0.0056122767681983,0.0007454763960642,-1.0,-1.0,-1.0,-1.0
761230-13-N7,761230-13-N7,4,1976-12-30 13:45:57.300000,1.0,0.0,3,35,D,CC,isolated,1,64.791838,1976-12-30 13:45:57.300000,369.42018666666667,329.95691555555555,19.08139236111111,sunrise5,386.7000001297711,0.0069869802243766,0.0010213906990876,-1.0,-1.0,-1.0,-1.0
761231-15-M2,761231-15-M2,2,1976-12-31 15:48:29.700000,1.0,0.0,3,35,C,CC,isolated,1,22.42245,1976-12-31 15:48:29.700000,382.10174666666666,348.10106666666667,20.16648958333333,sunrise5,46.100000129752,0.0059256155537268,0.0009768135844475,-1.0,-1.0,-1.0,-1.0
761231-15-M2,761231-15-M2,4,1976-12-31 15:48:27.500000,1.0,0.0,3,35,C,CC,isolated,1,27.513607,1976-12-31 15:48:27.500000,382.1015185185185,348.1007407407407,20.16646412037037,sunrise5,67.20000012975207,0.0053753995619262,0.0009997158111789,-1.0,-1.0,-1.0,-1.0
761230-08-M4,761230-08-M4,2,1976-12-30 08:29:26.500000,1.0,0.0,3,35,B,CC,isolated,1,9.738096,1976-12-30 08:29:26.500000,366.0540444444444,325.46822962962966,18.861591435185183,sunrise5,128.10000012974862,0.0072255403434633,0.0008492724001029,-1.0,-1.0,-1.0,-1.0
761230-08-M4,761230-08-M4,4,1976-12-30 08:29:27.200000,1.0,0.0,3,35,B,CC,isolated,1,47.754083,1976-12-30 08:29:27.200000,366.05416888888885,325.46840592592594,18.86159953703704,sunrise5,79.30000012975138,0.0081911889857849,0.0010501297201977,-1.0,-1.0,-1.0,-1.0
761231-03-M3,761231-03-M3,1,1976-12-31 03:48:28.500000,1.0,0.0,3,35,C,CC,isolated,1,11.525511,1976-12-31 03:48:28.500000,377.0378,340.55015555555553,19.666475694444443,sunrise5,37.70000012975188,0.0028943418667892,0.0005310507671545,-1.0,-1.0,-1.0,-1.0
761231-03-M3,761231-03-M3,3,1976-12-31 03:48:29.700000,1.0,0.0,3,35,C,CC,isolated,1,15.538096,1976-12-31 03:48:29.700000,377.03796,340.55038666666667,19.66648958333333,sunrise5,52.70000012975209,0.0024012902131399,0.000493576315034,-1.0,-1.0,-1.0,-1.0
761229-00-M2,761229-00-M2,3,1976-12-29 00:04:42.600000,1.0,0.0,3,35,B,CC,isolated,1,4.49864,1976-12-29 00:04:42.600000,337.89792,291.7721066666667,17.511083333333335,sunrise5,122.60000012974892,0.0054296221016378,0.0008757199600144,-1.0,-1.0,-1.0,-1.0
761229-00-M2,761229-00-M2,4,1976-12-29 00:04:43.100000,1.0,0.0,3,35,B,CC,isolated,1,64.653403,1976-12-29 00:04:43.100000,337.8980755555555,291.77226962962965,17.51108912037037,sunrise5,159.30000012974685,0.0059182640236086,0.0006328390419652,-1.0,-1.0,-1.0,-1.0
761231-14-M1,761231-14-M1,2,1976-12-31 14:13:52.300000,1.0,0.0,3,35,C,CC,isolated,1,13.856463,1976-12-31 14:13:52.300000,381.5029792592592,347.1789674074074,20.100778935185183,sunrise5,182.9000001297455,0.0057301168594033,0.0008587602783561,-1.0,-1.0,-1.0,-1.0
761231-14-M1,761231-14-M1,4,1976-12-31 14:13:46.200000,1.0,0.0,3,35,C,CC,isolated,1,7.42245,1976-12-31 14:13:46.200000,381.50234666666665,347.17797333333334,20.100708333333333,sunrise5,600.0,0.0050769244637339,0.0007892154516341,-1.0,-1.0,-1.0,-1.0
761229-08-N1,761229-08-N1,1,1976-12-29 08:13:16.400000,1.0,0.0,3,35,D,CC,isolated,1,47.062586,1976-12-29 08:13:16.400000,346.35237333333333,301.1977688888889,17.850363425925924,sunrise5,221.30000012974327,0.0032714748861306,0.000505381166966,-1.0,-1.0,-1.0,-1.0
761229-08-N1,761229-08-N1,4,1976-12-29 08:13:18.700000,1.0,0.0,3,35,D,CC,isolated,1,7.262586,1976-12-29 08:13:18.700000,346.35298666666665,301.19848444444443,17.850390046296297,sunrise5,95.10000012975048,0.0053146826587074,0.0010192120634637,-1.0,-1.0,-1.0,-1.0
761229-04-M3,761229-04-M3,3,1976-12-29 04:41:38.433333,1.0,0.0,3,35,B,CC,isolated,1,7.002042,1976-12-29 04:41:38.433333,342.82659604928887,297.1876375307556,17.703396219131943,sunrise5,64.60000012975222,0.0092009278601044,0.0017079486808558,-1.0,-1.0,-1.0,-1.0
761229-04-M3,761229-04-M3,4,1976-12-29 04:41:26.433333,1.0,0.0,3,35,B,CC,isolated,1,24.435716,1976-12-29 04:41:26.433333,342.8232182715111,297.1837264196445,17.703257330243055,sunrise5,54.300000129752114,0.0092947646085473,0.0014458140433308,-1.0,-1.0,-1.0,-1.0
