evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
760830-09-M5,761226-15-M1,1,1976-08-30 09:47:01.090694,0.9283849922382074,-0.2040816326530612,3,35,A,AA,repeating,362,5.87313,1976-08-30 09:47:00.886612,200.33058223028144,213.57865460432595,15.126399150601852,sunrise1,205.10000012974425,0.0350881398153512,108.52527756509303,0.0061069678231502,63.17445299133818,1.1939732144818496
760830-09-M8,761226-15-M1,1,1976-08-30 09:53:43.678571,0.9425890211167988,-0.1785714285714285,3,35,C,AA,repeating,362,5.843539,1976-08-30 09:53:43.500000,200.99862222222225,213.6740888888889,15.131059027777775,sunrise1,600.0,0.038083982259169,48.55356731765756,1.6036287921654853,78.04816554061131,2.840910188711865
760830-10-M10,761226-15-M1,1,1976-08-30 10:39:55.470261,0.9563325110023462,0.1615646258503401,3,35,A,AA,repeating,362,5.503062,1976-08-30 10:39:55.631826,205.4353625712,214.3600109784,15.163143886875,sunrise1,112.90000012974949,0.029103866796861,104.79368306487328,0.0072889340510068,60.59159655455229,1.3180289864212742
760830-10-M11,761226-15-M1,1,1976-08-30 10:44:37.876539,0.9684035290647812,0.1530612244897959,3,35,A,AA,repeating,362,4.544219,1976-08-30 10:44:38.029600,205.8728159762963,214.4311333807408,15.16641237962963,sunrise1,207.9000001297441,0.0371112381288623,79.55729051583504,1.5864844680832964,81.13752052472195,4.514242169906753
760830-10-M13,761226-15-M1,1,1976-08-30 10:56:13.416466,0.9634058570961156,-0.1445578231292517,3,35,A,AA,repeating,362,4.835715,1976-08-30 10:56:13.271908,206.93738866097777,214.6062314434963,15.174459165601853,sunrise1,283.70000012974765,0.033560953546055,90.13796627675768,0.0281932744482019,73.97257473268019,3.607018561237593
760830-10-M16,761226-15-M1,1,1976-08-30 10:50:00.742517,0.9633840325002612,-0.042517006802721,3,35,C,AA,repeating,362,5.699661,1976-08-30 10:50:00.700000,206.36996740740744,214.51239851851847,15.17014699074074,sunrise1,134.10000012974828,0.0307169038382559,104.62961079368064,0.0069846565176849,45.74007016049077,0.2916139813382112
760830-10-M2,761226-15-M1,1,1976-08-30 10:05:55.268300,0.9484523561272192,0.2636054421768707,3,35,A,AA,repeating,362,5.394559,1976-08-30 10:05:55.531905,202.19605199333333,213.8562080353333,15.139531619270835,sunrise1,110.9000001297496,0.0339995309770515,104.76222458765096,0.0036485363244301,76.65887686468844,1.2037293321170184
760830-10-M4,761226-15-M1,1,1976-08-30 10:11:08.645965,0.95336156451768,-0.0850340136054421,3,35,A,AA,repeating,362,5.913606,1976-08-30 10:11:08.560931,202.7029354293185,213.9318070354963,15.143154640405092,sunrise1,199.50000012974456,0.0333044283922185,106.20431145941195,0.0199662278718538,73.81084617225794,3.6616787218675895
760830-10-M5,761226-15-M1,1,1976-08-30 10:15:57.050901,0.9593639033770952,-0.1785714285714285,3,35,A,AA,repeating,362,5.835035,1976-08-30 10:15:56.872330,203.1685049477037,214.00014751525924,15.146491577893515,sunrise1,168.30000012974634,0.034132645056791,102.49323985619677,0.0482240782261187,46.14212200276692,0.3013758624936029
760830-10-M6,761226-15-M1,1,1976-08-30 10:20:55.268750,0.9644016698607292,-0.6717687074829932,3,35,A,AA,repeating,362,6.326531,1976-08-30 10:20:54.596981,203.64351525905184,214.07263923965925,15.149937465057867,sunrise1,151.5000001297473,0.0325408168350121,81.89410397201038,1.3337968527350994,54.74989749104228,0.1358668122357861
760830-10-M8,761226-15-M1,1,1976-08-30 10:30:34.119765,0.961592614730053,0.0340136054421768,3,35,A,AA,repeating,362,4.654763,1976-08-30 10:30:34.153779,204.5536340825778,214.2186016924889,15.156645298368057,sunrise1,600.0,0.0350199418654224,104.43572813937318,0.0034022860535901,61.833069087225965,0.7366500830050793
760830-10-M9,761226-15-M1,1,1976-08-30 10:35:21.714985,0.9683632197291048,0.1700680272108843,3,35,A,AA,repeating,362,5.486055,1976-08-30 10:35:21.885053,205.0054787498963,214.29106734668147,15.15997552144676,sunrise1,121.200000129749,0.0353136930215987,88.63540056342273,0.5863552748840744,88.5019574133918,0.5069995670906887
760830-11-M1,761226-15-M1,1,1976-08-30 11:01:45.582252,0.963263625551532,0.0170068027210884,3,35,A,AA,repeating,362,5.841497,1976-08-30 11:01:45.599259,207.4395722136,214.68992870226663,15.178305546979168,sunrise1,110.6000001297496,0.0294714098100008,104.93147540064268,0.0070467368527518,65.95721780501677,0.9359649550115364
760830-11-M10,761226-15-M1,1,1976-08-30 11:48:06.731525,0.9195637116300992,0.2295918367346939,3,35,A,AA,repeating,362,6.362246,1976-08-30 11:48:06.961117,211.51533671628147,215.41041983687407,15.210497235150465,sunrise1,196.1000001297448,0.021619600249291,75.4339151830485,9.593421854719487,70.06802100557827,3.2114168404354877
760830-11-M12,761226-15-M1,1,1976-08-30 11:52:41.666542,0.9431931664855278,-0.0680272108843537,3,35,A,AA,repeating,362,5.720069,1976-08-30 11:52:41.598515,211.90649566577773,215.4830929373333,15.213675908738423,sunrise1,133.9000001297483,0.0310121670195543,106.94484031780247,0.0237528120504557,69.40366846957953,0.9519022971062676
760830-11-M13,761226-15-M1,1,1976-08-30 11:57:32.268854,0.9390711524567396,0.1530612244897959,3,35,A,AA,repeating,362,6.444899,1976-08-30 11:57:32.421915,212.320111168,215.560645844,15.2170419203125,sunrise1,151.2000001297473,0.0285607820832837,102.69755424767764,0.0752573157457095,84.21414350354507,4.524249453652208
760830-11-M2,761226-15-M1,1,1976-08-30 11:07:09.596401,0.9633609943654812,0.0255102040816326,3,35,A,AA,repeating,362,5.628572,1976-08-30 11:07:09.621911,207.9261750075704,214.77456584293333,15.182055809155091,sunrise1,152.30000012974725,0.0272342704717249,89.14209921354447,0.0630674026654132,79.65916325345545,2.2341866937522377
760830-11-M3,761226-15-M1,1,1976-08-30 11:11:59.716213,0.9466019949569902,-0.0680272108843537,3,35,A,AA,repeating,362,4.759184,1976-08-30 11:11:59.648186,208.3601402486815,214.85190618293333,15.18541259474537,sunrise1,211.70000012974387,0.0258509345983837,79.86319488490118,1.5736432095302109,64.57861356120212,0.8163372519605202
760830-11-M4,761226-15-M1,1,1976-08-30 11:17:29.785768,0.9560002422065328,-0.4506802721088436,3,35,A,AA,repeating,362,7.038436,1976-08-30 11:17:29.335088,208.84902479573333,214.9376103184593,15.18922841537037,sunrise1,600.0,0.0263450008794154,87.5822581213048,0.0408168640971203,43.37727650385912,0.2153712790287013
760830-11-M6,761226-15-M1,1,1976-08-30 11:28:33.240749,0.9556602460770272,0.0510204081632653,3,35,A,AA,repeating,362,5.607484,1976-08-30 11:28:33.291769,209.82077916091853,215.10687780506663,15.19691309917824,sunrise1,134.0000001297483,0.0297462131413315,104.78071963706743,0.0070198256320133,14.004440862690233,3.448550552987012
760830-11-M7,761226-15-M1,1,1976-08-30 11:33:09.761177,0.9483777343695596,-0.0255102040816326,3,35,A,AA,repeating,362,6.610545,1976-08-30 11:33:09.735667,210.22213474616296,215.18059617786668,15.20011268133102,sunrise1,600.0,0.0321126722714565,102.50498038293988,0.0764229431854792,92.52961767850896,1.4678668126411225
760830-12-M1,761226-15-M1,1,1976-08-30 12:02:16.628441,0.9273736999528718,0.1785714285714285,3,35,A,AA,repeating,362,7.168028,1976-08-30 12:02:16.807012,212.720516431526,215.63648186986663,15.22033341449074,sunrise1,97.70000012975034,0.0258539043574271,104.78071963706743,0.0070198256320133,74.92672858482554,2.169011802961476
