evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
761229-18-N10,761229-18-N10,1976-12-29 18:51:07.800000,CC,isolated,355.8971822222222,312.56352888888887,18.29331944444445,0.0050730444619404,312.56352888888887,18.6209195,-1.0,-1.0,-1.0,-1.0
761229-18-N13,761229-18-N13,1976-12-29 18:52:43.600000,DD,isolated,355.9198903703704,312.5904948148148,18.294428240740743,0.0034250856584569,312.5904948148148,51.561566,-1.0,-1.0,-1.0,-1.0
761229-18-N14,761229-18-N14,1976-12-29 18:53:45.700000,DD,isolated,355.9346103703704,312.6079748148148,18.29514699074074,0.004568519795491,312.6079748148148,1.691157,-1.0,-1.0,-1.0,-1.0
761229-18-N2,761229-18-N2,1976-12-29 18:27:56.900000,DD,isolated,355.57748740740743,312.16685925925924,18.27722106481481,0.008586575344913,312.16685925925924,1.188436,-1.0,-1.0,-1.0,-1.0
761229-18-N4,761229-18-N4,1976-12-29 18:08:38.600000,DD,isolated,355.3129274074074,311.8359762962963,18.26381481481481,0.0031831204054226,311.8359762962963,34.328573,-1.0,-1.0,-1.0,-1.0
761229-18-N7,761229-18-N7,1976-12-29 18:49:46.300000,DD,isolated,355.8778637037037,312.5405881481481,18.292376157407407,0.0042960618278872,312.5405881481481,28.152382,-1.0,-1.0,-1.0,-1.0
761229-21-M1,761229-21-M1,1976-12-29 21:21:59.458333,AA,isolated,357.9336654320296,315.0814030863259,18.3980840084838,0.0073332824937725,315.0814030863259,3.07738175,51.28090380193334,0.0669113870488777,87.62047319300176,0.1353803190289953
761229-21-M2,761229-21-M2,1976-12-29 21:39:44.500000,DD,isolated,358.16988888888886,315.37586666666664,18.41041087962963,0.0020326038667804,315.37586666666664,13.712586,-1.0,-1.0,-1.0,-1.0
761229-23-M1,761229-23-M1,1976-12-29 23:37:41.002440,AA,isolated,359.70244498666665,317.292933984,18.492314843055556,0.0106059309853096,317.292933984,9.01930375,113.04141829588572,0.0140729073368507,64.56129438924913,0.1756944181587955
761229-23-M3,761229-23-M3,1976-12-29 23:57:33.100000,BB,isolated,359.95953185185186,317.6186503703704,18.50611226851852,0.0036344034863842,317.6186503703704,20.16644066666667,155.20651976857178,45.93759839509504,124.11686725070412,87.23690315603119
761229-23-N3,761229-23-N3,1976-12-29 23:12:44.250000,CC,isolated,359.3818444444445,316.8938,18.474991319444445,0.0041433622571273,316.8938,24.924321,-1.0,-1.0,-1.0,-1.0
761229-23-N6,761229-23-N6,1976-12-29 23:41:29.800000,CC,isolated,359.75328888888896,317.3539466666667,18.49496296296296,0.0032611479916953,317.3539466666667,37.312246,-1.0,-1.0,-1.0,-1.0
761230-00-M3,761230-00-M3,1976-12-30 00:25:09.100000,DD,isolated,360.30535555555554,318.0624266666666,18.525278935185185,0.0036251075986588,318.0624266666666,7.121089,-1.0,-1.0,-1.0,-1.0
761230-00-N1,761230-00-N1,1976-12-30 00:37:03.450000,AA,isolated,360.46116,318.24998,18.533546875,0.0037154428419764,318.24998,63.7987255,69.5914751314958,16.612532460608445,299.8473319519274,0.0155036859397513
761230-01-M1,761230-01-M1,1976-12-30 01:18:04.917590,AA,isolated,360.9716866112593,318.8993113573333,18.562036083217592,0.0044195314347752,318.8993113573333,3.488011,116.68916135056944,0.0009587148168935,128.17789645129037,0.0235796411452109
