x_m,y_m,diameter_m,name,geo1_xy_dist_m,geo2_xy_dist_m,geo3_xy_dist_m,geo4_xy_dist_m
-6.45,-11.99,6,Geophone rock,70.08877337348686,55.99699389252963,13.614793424800833,47.48226132989034
34.95,-52.31,4,GEO 4 rock 1,87.92767751396599,113.3017922408997,62.91135509588075,22.578351157690857
10.19,23.56,3,R2,37.18288736771259,63.41094325903061,25.669236451441247,79.08160886704316
1.41,-70.2,4,GEO 4 rock 2,114.07090844295053,104.5545356500616,70.21415882854397,18.483988233062693
-2.69,-77.49,5,GEO 4 rock 3,122.38352092091483,108.88591793707761,77.53667648281038,26.79331672264559
