source,geo1_distance_m,geo2_distance_m,geo3_distance_m,geo4_distance_m
LM,145.658121,240.9397575,187.1474594,183.3230964
Geophone rock,70.08877337348686,55.99699389252963,13.614793424800833,47.48226132989034
R2,37.18288736771259,63.41094325903061,25.669236451441247,79.08160886704316
GEO 4 rock 1,87.92767751396599,113.3017922408997,62.91135509588075,22.578351157690857
GEO 4 rock 2,114.07090844295053,104.5545356500616,70.21415882854397,18.483988233062693
GEO 4 rock 3,122.38352092091483,108.88591793707761,77.53667648281038,26.79331672264559
