,evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new
20952,761016-12-M1,761226-15-M9,4,1976-10-16 12:34:00.212205,0.684965259446989,1.1649659863945578,3,35,A,AA
20953,761016-12-N1,761226-15-M9,4,1976-10-16 12:35:03.817347,0.6137535306955332,-2.1173469387755106,3,35,D,AA
20954,761016-13-M1,761226-15-M9,4,1976-10-16 13:16:32.133848,0.6521909016286562,1.215986394557823,3,35,A,AA
20955,761016-13-M3,761226-15-M9,4,1976-10-16 13:25:07.157143,0.6737058834722437,-0.3571428571428571,3,35,B,BB
20956,761017-04-M1,761226-15-M9,4,1976-10-17 04:05:18.908115,0.810234625923526,0.0935374149659864,3,35,A,AA
20957,761017-04-M2,761226-15-M9,4,1976-10-17 04:25:19.236539,0.7775435470818226,-3.2142857142857144,3,35,A,AA
20958,761017-04-N1,761226-15-M9,4,1976-10-17 04:12:08.686735,0.6655541694837805,-0.5867346938775511,3,35,D,AA
20959,761017-05-M1,761226-15-M9,4,1976-10-17 05:48:47.460924,0.6588842212987452,-9.821428571428571,3,35,A,AA
20960,761017-10-M1,761226-15-M9,4,1976-10-17 10:12:40.762112,0.6995835579350175,-5.433673469387756,3,35,A,AA
20961,761017-10-M2,761226-15-M9,4,1976-10-17 10:17:19.746599,0.7315537623085127,-0.2465986394557823,3,35,B,AA
20962,761017-10-M3,761226-15-M9,4,1976-10-17 10:40:10.268837,0.8156690803504659,1.2244897959183674,3,35,A,AA
20963,761017-10-N1,761226-15-M9,4,1976-10-17 10:04:20.276190,0.6679446478247294,-0.4761904761904762,3,35,D,AA
20964,761017-12-M1,761226-15-M9,4,1976-10-17 12:17:41.192517,0.7619406521105848,-0.4591836734693878,3,35,B,AA
20965,761017-12-M2,761226-15-M9,4,1976-10-17 12:42:35.717353,0.7985284580082869,0.2806122448979592,3,35,A,AA
20966,761017-14-M1,761226-15-M9,4,1976-10-17 14:46:22.852471,0.7662103866975976,-0.5952380952380953,3,35,A,AA
20967,761017-16-M1,761226-15-M9,4,1976-10-17 16:44:57.850882,0.7517752636929665,1.1989795918367347,3,35,A,AA
20968,761018-04-M1,761226-15-M9,4,1976-10-18 04:15:10.127649,0.7773658540484131,-2.057823129251701,3,35,A,AA
20969,761018-08-M1,761226-15-M9,4,1976-10-18 08:02:51.129328,0.811268429752754,0.1530612244897959,3,35,A,AA
20970,761018-08-N1,761226-15-M9,4,1976-10-18 08:08:19.517347,0.6573385766486611,-7.117346938775511,3,35,D,AA
20971,761019-03-M1,761226-15-M9,4,1976-10-19 03:49:26.167843,0.7650166171557479,1.326530612244898,3,35,A,AA
20972,761019-10-M1,761226-15-M9,4,1976-10-19 10:40:16.385257,0.7797527628365483,-0.1360544217687075,3,35,A,AA
20973,761019-18-M2,761226-15-M9,4,1976-10-19 18:09:53.791421,0.6927403181266909,-6.556122448979592,3,35,A,AA
20974,761019-19-M1,761226-15-M9,4,1976-10-19 19:48:35.751913,0.7833345575852593,0.5187074829931974,3,35,A,AA
20975,761019-20-M2,761226-15-M9,4,1976-10-19 20:27:24.937755,0.6499490692805947,1.0289115646258504,3,35,B,CC
20976,761020-01-M1,761226-15-M9,4,1976-10-20 01:20:03.651859,0.7754743797633659,0.9183673469387756,3,35,A,AA
20977,761020-13-M2,761226-15-M9,4,1976-10-20 13:39:37.534154,0.8060080949061761,-0.5102040816326531,3,35,A,AA
20978,761020-17-M1,761226-15-M9,4,1976-10-20 17:24:06.114668,0.7094182244654846,-6.36904761904762,3,35,A,AA
20979,761021-00-M1,761226-15-M9,4,1976-10-21 00:11:43.863039,0.7884742497067805,0.1275510204081632,3,35,A,AA
20980,761021-06-M1,761226-15-M9,4,1976-10-21 06:55:56.346062,0.8583419589684335,0.2380952380952381,3,35,A,AA
