,evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source,source_distance_m
22,760929-13-M1,761028-23-M3,1,1976-09-29 13:25:00.665149,0.8710698288417195,0.2551020408163265,3,35,A,AA,repeating,6,3.091838,1976-09-29 13:25:00.920251,262.92402863408887,234.1380913447852,15.785600928831018,sunrise2,45.200000129751984,0.0051877010385625,165.57224415584,2.7118226182107903,167.71118664584228,3.0790044448471736,geophone_rock,70.08877337348686
23,760929-13-M1,761028-23-M3,2,1976-09-29 13:25:00.671612,0.8748680796736239,0.348639455782313,3,35,A,AA,repeating,6,3.306463,1976-09-29 13:25:01.020251,262.9241041896444,234.1381254188593,15.785602086238429,sunrise2,57.30000012975216,0.0061164401771727,165.57224415584,2.7118226182107903,167.71118664584228,3.0790044448471736,geophone_rock,55.99699389252963
24,760930-02-N2,760930-02-N2,3,1976-09-30 02:10:33.800000,1.0,0.0,3,35,D,DD,isolated,1,0.621769,1976-09-30 02:10:33.800000,291.55802666666665,250.36535111111112,16.317231481481482,sunrise2,19.900000129751625,0.0062925334158544,-1.0,-1.0,-1.0,-1.0,geophone_rock,13.614793424800833
25,760831-14-M4,760831-14-M4,3,1976-08-31 14:40:57.933333,1.0,0.0,3,35,B,AA,isolated,1,1.534355,1976-08-31 14:40:57.933333,290.7178172837778,247.48393185173333,16.33053163579861,sunrise1,33.80000012975182,0.0135634777952797,122.2000605816722,59.74481632277383,244.5597455850801,2.3257585835887458,geophone_rock,13.614793424800833
26,760831-14-M4,760831-14-M4,2,1976-08-31 14:40:59.233333,1.0,0.0,3,35,B,AA,isolated,1,5.617008,1976-08-31 14:40:59.233333,290.71849135785186,247.4843940739556,16.33054668209491,sunrise1,30.70000012975178,0.0026578222673253,122.2000605816722,59.74481632277383,244.5597455850801,2.3257585835887458,geophone_rock,55.99699389252963
27,760831-14-M4,760831-14-M4,4,1976-08-31 14:40:59.633333,1.0,0.0,3,35,B,AA,isolated,1,4.341157,1976-08-31 14:40:59.633333,290.71869876525926,247.48453629617777,16.330551311724534,sunrise1,36.000000129751854,0.0045199584231725,122.2000605816722,59.74481632277383,244.5597455850801,2.3257585835887458,geophone_rock,47.48226132989034
28,760831-14-M4,760831-14-M4,1,1976-08-31 14:41:00.733333,1.0,0.0,3,35,B,AA,isolated,1,3.020069,1976-08-31 14:41:00.733333,290.71926913562965,247.4849274072889,16.330564043206017,sunrise1,25.000000129751697,0.0025225844943105,122.2000605816722,59.74481632277383,244.5597455850801,2.3257585835887458,geophone_rock,70.08877337348686
29,761227-21-M1,761227-21-M1,3,1976-12-27 21:02:00.200000,1.0,0.0,3,35,B,AA,isolated,1,0.876531,1976-12-27 21:02:00.200000,299.8787644444444,257.09451851851856,16.384203703703704,sunrise5,20.600000129751635,0.0151111494772819,175.79862070630136,3.9528693778252832,125.12801535904444,0.5356200265897867,geophone_rock,13.614793424800833
30,761227-21-M1,761227-21-M1,4,1976-12-27 21:02:00.900000,1.0,0.0,3,35,B,AA,isolated,1,2.07279,1976-12-27 21:02:00.900000,299.87910666666664,257.0947777777778,16.384211805555555,sunrise5,31.100000129751784,0.0052226384565812,175.79862070630136,3.9528693778252832,125.12801535904444,0.5356200265897867,geophone_rock,47.48226132989034
31,761227-21-M1,761227-21-M1,1,1976-12-27 21:02:01.200000,1.0,0.0,3,35,B,AA,isolated,1,2.699661,1976-12-27 21:02:01.200000,299.87925333333334,257.0948888888889,16.384215277777777,sunrise5,19.60000012975162,0.0026305276693076,175.79862070630136,3.9528693778252832,125.12801535904444,0.5356200265897867,geophone_rock,70.08877337348686
32,761227-21-M1,761227-21-M1,2,1976-12-27 21:02:01.900000,1.0,0.0,3,35,B,AA,isolated,1,5.230953,1976-12-27 21:02:01.900000,299.8795955555556,257.09514814814816,16.384223379629628,sunrise5,25.700000129751707,0.0030372064300547,175.79862070630136,3.9528693778252832,125.12801535904444,0.5356200265897867,geophone_rock,55.99699389252963
33,761029-17-M2,761029-17-M2,3,1976-10-29 17:06:20.523157,1.0,0.0,3,35,A,AA,isolated,1,0.468028,1976-10-29 17:06:20.523157,297.45833759019257,254.8776011692593,16.400237536539354,sunrise3,23.50000012975168,0.0159283198962039,158.31893101384642,37.791332889833626,176.3995247098297,3.7387608922503848,geophone_rock,13.614793424800833
34,761029-17-M2,761029-17-M2,4,1976-10-29 17:06:21.023157,1.0,0.0,3,35,A,AA,isolated,1,1.838776,1976-10-29 17:06:21.023157,297.45858944204446,254.8777863544444,16.40024332357639,sunrise3,36.30000012975186,0.0049948857117966,158.31893101384642,37.791332889833626,176.3995247098297,3.7387608922503848,geophone_rock,47.48226132989034
35,761029-17-M2,761029-17-M2,2,1976-10-29 17:06:21.723157,1.0,0.0,3,35,A,AA,isolated,1,4.251021,1976-10-29 17:06:21.723157,297.45894203463706,254.8780456137037,16.40025142542824,sunrise3,24.300000129751687,0.0032864713808724,158.31893101384642,37.791332889833626,176.3995247098297,3.7387608922503848,geophone_rock,55.99699389252963
36,761029-17-M2,761029-17-M2,1,1976-10-29 17:06:21.723157,1.0,0.0,3,35,A,AA,isolated,1,1.9466,1976-10-29 17:06:21.723157,297.45894203463706,254.8780456137037,16.40025142542824,sunrise3,23.60000012975168,0.002836258497739,158.31893101384642,37.791332889833626,176.3995247098297,3.7387608922503848,geophone_rock,70.08877337348686
37,761128-19-M3,761128-19-M3,4,1976-11-28 19:49:02.500000,1.0,0.0,3,35,C,CC,isolated,1,17.518708,1976-11-28 19:49:02.500000,319.767,273.46622222222226,16.93509837962963,sunrise4,83.50000012975114,0.0069429434615118,-1.0,-1.0,-1.0,-1.0,geophone_rock,47.48226132989034
38,761128-19-M3,761128-19-M3,3,1976-11-28 19:49:07.700000,1.0,0.0,3,35,C,CC,isolated,1,3.866327,1976-11-28 19:49:07.700000,319.76908000000003,273.4680711111111,16.935158564814813,sunrise4,56.30000012975214,0.0149430121329599,-1.0,-1.0,-1.0,-1.0,geophone_rock,13.614793424800833
39,760930-21-M4,761030-08-M1,3,1976-09-30 21:00:52.659184,0.9227820704498554,-0.4591836734693878,3,35,C,AA,repeating,3,1.213266,1976-09-30 21:00:52.200000,321.25856,274.64778666666666,17.102166666666665,sunrise2,51.30000012975207,0.0197870425655791,221.89429268370327,57.46512403519407,197.0778666287374,8.828787313980332,geophone_rock,13.614793424800833
40,760930-21-M4,761030-08-M1,4,1976-09-30 21:00:53.457483,0.8991365748078033,0.042517006802721,3,35,C,AA,repeating,3,3.110545,1976-09-30 21:00:53.500000,321.25902222222226,274.6482296296296,17.102181712962963,sunrise2,39.000000129751896,0.0093120006937311,221.89429268370327,57.46512403519407,197.0778666287374,8.828787313980332,geophone_rock,47.48226132989034
41,760930-21-M4,761030-08-M1,2,1976-09-30 21:00:54.157143,0.8527289653519001,-0.3571428571428571,3,35,C,AA,repeating,3,2.453402,1976-09-30 21:00:53.800000,321.2591288888889,274.6483318518518,17.102185185185185,sunrise2,44.80000012975198,0.0067737309290977,221.89429268370327,57.46512403519407,197.0778666287374,8.828787313980332,geophone_rock,55.99699389252963
42,760930-21-M4,761030-08-M1,1,1976-09-30 21:00:53.158163,0.8691464450145863,0.8418367346938777,3,35,C,AA,repeating,3,1.734695,1976-09-30 21:00:54.000000,321.2592,274.6484,17.1021875,sunrise2,37.00000012975187,0.0056456848812236,221.89429268370327,57.46512403519407,197.0778666287374,8.828787313980332,geophone_rock,70.08877337348686
