evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
760815-15-M1,760815-15-M1,1976-08-15 15:12:08.500000,AA,isolated,119.75414814814816,252.1996962962963,0.3521817129629629,0.0064525797013607,252.1996962962963,12.0493205,56.677429894662986,2.148010188566132,312.2308052378074,0.610580200552316
760816-19-M3,760816-19-M3,1976-08-16 19:37:19.300563,AA,isolated,104.33745921755556,239.76095106106663,1.5363344972569444,0.0043315365506322,239.76095106106663,13.76726275,110.4303169605998,1.843107972079009e-05,97.67236797288284,0.0767675680306717
760817-05-M2,760817-05-M2,1976-08-17 05:25:25.067378,AA,isolated,101.80369871274074,237.0536987127408,1.944734576134259,0.0048197307425617,237.0536987127408,14.839882,108.12963489864345,0.0126853307721534,68.52422201882545,0.1049341727215637
760817-13-M1,760817-13-M1,1976-08-17 13:52:53.474766,AA,isolated,100.02860890275556,235.0386089027556,2.297146698680556,0.0212909510241935,235.0386089027556,6.3481302500000005,110.9338195889165,0.1627011096804467,118.46059451063964,0.1032393903293091
760817-20-M1,760817-20-M1,1976-08-17 20:47:00.908333,AA,isolated,98.77462629631113,233.5561683950816,2.584732735335648,0.0025317296007098,233.5561683950816,11.742603,132.10185766388395,2.544390988565498,92.31484981562816,0.1015024412907084
760818-12-M1,760818-12-M1,1976-08-18 12:14:23.633697,AA,isolated,96.43161628013334,230.6516162801333,3.2287457603819445,0.0036689564575098,230.6516162801333,14.2906475,100.8352896704086,0.6841415266262427,116.20055015051068,0.0520264928117134
760819-13-M2,760819-13-M2,1976-08-19 13:57:20.167539,AA,isolated,93.4514024432889,226.7171036649333,4.300233420590278,0.0282663264550551,226.7171036649333,9.7970245,84.11901231155532,2.1899155450188488,61.83311322172235,0.736667476974471
760820-13-M1,760820-13-M1,1976-08-20 13:49:17.021248,AA,isolated,91.32571788894812,223.73571788894816,5.29464144962963,0.0107741888054884,223.73571788894816,8.969558750000001,109.77003771312576,0.0025657010040754,71.14591026178587,0.3313778760178881
760820-21-M2,760820-21-M2,1976-08-20 21:54:51.993276,AA,isolated,90.70122972924445,222.83245945848887,5.631851774027778,0.0047206015875699,222.83245945848887,8.1142015,107.87983244497832,0.0062039504683827,85.31654448073357,0.5819776523987483
760822-12-M1,760822-12-M1,1976-08-22 12:42:04.958712,AA,isolated,88.17259320426668,219.05518640853333,7.247974059166667,0.0090083613894406,219.05518640853333,10.75110625,152.87033818923422,0.5054028905593061,147.4013000898994,3.902375213987267
760830-09-M3,760830-09-M3,1976-08-30 09:37:27.408922,AA,isolated,199.36562395715555,213.43601409887407,15.119761677337962,0.0069369627505554,213.43601409887407,8.9961745,70.31060490772855,0.7432686249169866,80.47585835028417,3.546740550881196
760830-10-M14,760830-10-M14,1976-08-30 10:00:35.075000,AA,isolated,201.6738259259259,213.7755003703704,15.135822627314814,0.0301680546035979,213.7755003703704,6.2523815,107.7757891140019,0.0356255433203847,108.75179419900068,1.41538325807783
760830-13-M4,760830-13-M4,1976-08-30 13:24:18.250000,AA,isolated,219.3045851851852,216.9738037037037,15.277294560185188,0.0053095193278588,216.9738037037037,9.7257665,116.23074300740284,0.0070354413767219,95.17896279098186,0.0607955485297322
760831-02-M1,760831-02-M1,1976-08-31 02:35:15.242927,AA,isolated,264.0721763470074,231.96408277512592,15.826565311655092,0.006793275348475,231.96408277512592,8.254847999999999,90.76399811797428,0.1149631146506929,117.34913658034807,0.1329006054238894
760831-03-M1,760831-03-M1,1976-08-31 03:04:46.195399,AA,isolated,265.34351672817775,232.5717583640889,15.847062446747683,0.0048038131732877,232.5717583640889,4.178232,118.98243425185078,0.0229400619498283,86.78176340271376,1.158835384604934
760831-03-M2,760831-03-M2,1976-08-31 03:21:59.565985,AA,isolated,266.0783580337778,232.9296298911852,15.859022754456015,0.0040065576411984,232.9296298911852,8.562586,14.534459909341024,0.4424595052277508,353.35581809771827,0.6671078292856752
760831-08-M3,760831-08-M3,1976-08-31 08:48:33.577995,AA,isolated,278.8430621895556,239.84593884266667,16.085805300868056,0.0275251336268416,239.84593884266667,10.5388615,52.58158612782269,0.5829899793129104,87.44182120998765,0.2907349880140707
