evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
760815-09-M3,760815-09-M3,1976-08-15 09:02:41.725000,AA,isolated,127.92572629629628,257.2844774074074,0.0956218171296296,0.0044727294527768,257.2844774074074,35.17636175,103.73681164526133,0.775983312331422,311.5193605248343,3.261598378647638
760815-09-N2,760815-09-N2,1976-08-15 09:34:38.300000,DD,isolated,127.07710074074072,256.75578666666667,0.1178043981481481,0.0044144616501702,256.75578666666667,44.308845,-1.0,-1.0,-1.0,-1.0
760815-10-M1,760815-10-M1,1976-08-15 10:36:35.476434,AA,isolated,125.5118094264,255.79625743786664,0.1608272735416666,0.0049592843247909,255.79625743786664,28.23869175,107.2575817638708,95.06262204195798,55.19958351151382,0.4026917746147843
760815-11-M1,760815-11-M1,1976-08-15 11:30:58.433333,BB,isolated,124.23082567901236,255.0028158024692,0.1985929783950617,0.0034241259511224,255.0028158024692,23.868255,125.50985423745097,60.3881870326116,200.52342109567624,97.74841792799133
760815-11-M3,760815-11-M3,1976-08-15 11:36:11.800000,DD,isolated,124.11012148148149,254.9285362962963,0.2022199074074074,0.0028606701313855,254.9285362962963,21.735715,-1.0,-1.0,-1.0,-1.0
760815-11-N1,760815-11-N1,1976-08-15 11:44:44.350000,CC,isolated,123.91912962962962,254.8134777777777,0.208152199074074,0.0036078330175233,254.8134777777777,50.1678585,-1.0,-1.0,-1.0,-1.0
760815-11-N2,760815-11-N2,1976-08-15 11:01:15.600000,AA,isolated,124.91976,255.42762666666664,0.1779583333333332,0.0034269792946132,255.42762666666664,32.057314,337.6185928255732,1.3915219826179794,110.01351195310374,0.016338902373608
760815-12-M1,760815-12-M1,1976-08-15 12:45:35.084605,AA,isolated,122.59752547377778,253.9922034211112,0.2504060718171296,0.0038645026861626,253.9922034211112,32.31224575,277.2638825533172,2.055613439593365,140.0548748909968,0.5733495696820807
760815-12-M2,760815-12-M2,1976-08-15 12:51:20.597133,DD,isolated,122.47467657493334,253.9154228593333,0.2544050594097222,0.0034139752309664,253.9154228593333,49.766668,-1.0,-1.0,-1.0,-1.0
760815-12-M4,760815-12-M4,1976-08-15 12:53:42.175000,AA,isolated,122.4243377777778,253.8839611111111,0.2560436921296296,0.0057471572328234,253.8839611111111,33.3636915,32.06647767229819,6.456236331325335,242.4864873109057,1.3607377934486529
760815-12-N2,760815-12-N2,1976-08-15 12:11:58.550000,AA,isolated,123.31451555555554,254.4403222222222,0.2270665509259259,0.0073125839569912,254.4403222222222,38.627722,119.94724783285716,2.8087974690811177,6.814684118150163,0.1474891426678884
760815-13-M2,760815-13-M2,1976-08-15 13:58:24.734700,AA,isolated,121.12438276444443,253.07168072444443,0.3009807256944444,0.0064940610993006,253.07168072444443,16.0636915,347.20616364497334,0.637411699006023,139.44343558769324,0.1016796459467965
760815-13-M3,760815-13-M3,1976-08-15 13:31:24.800000,DD,isolated,121.65236148148148,253.40241185185184,0.2822314814814814,0.0028883501051083,253.40241185185184,26.926191,-1.0,-1.0,-1.0,-1.0
760815-13-N1,760815-13-N1,1976-08-15 13:18:41.075000,AA,isolated,121.9113374074074,253.5608722222222,0.2733920717592593,0.0032199108565482,253.5608722222222,28.696259750000003,159.48185619386123,88.57508102951823,22.263504482896792,0.0091382886584868
760815-14-M1,760815-14-M1,1976-08-15 14:14:52.858333,AA,isolated,120.81222185195556,252.87148123463703,0.3124173418171296,0.0038072740734112,252.87148123463703,22.5659875,339.2372818313247,1.5455815770432544,54.71270711224904,0.3398841094676604
760815-14-M2,760815-14-M2,1976-08-15 14:45:45.569230,AA,isolated,120.2358229062222,252.5045570371852,0.3338607549768518,0.0038754046343211,252.5045570371852,23.6079945,111.0029479709959,0.0039084388818327,256.8712520849892,1.409322083695886
760815-15-N1,760815-15-N1,1976-08-15 15:52:08.025000,AA,isolated,119.05951888888887,251.74756555555552,0.3799539930555555,0.0031054869855752,251.74756555555552,13.970749,260.3980384638051,33.1845562563252,285.2004899653359,5.2812649193782
760815-16-M1,760815-16-M1,1976-08-15 16:14:31.001572,AA,isolated,118.6814958538074,251.50515527608889,0.3954977033796296,0.0043164246218324,251.50515527608889,28.20663375,162.2350428683106,2.8612804144132125,257.5985516877864,0.0529548864621584
760815-16-M2,760815-16-M2,1976-08-15 16:22:35.514614,AA,isolated,118.54852943626668,251.41560459285927,0.4011054932175925,0.0053239141324682,251.41560459285927,15.34940575,349.9523955262372,0.0514400436013348,115.39689009148356,0.132419809319362
760815-16-M3,760815-16-M3,1976-08-15 16:25:01.506376,AA,isolated,118.50959829973334,251.3874876609185,0.4027952126851852,0.0046528278568001,251.3874876609185,42.542008,312.5024055962962,2.6445419832080708,147.27498388531873,0.5621793318668595
760815-16-M4,760815-16-M4,1976-08-15 16:29:59.666667,BB,isolated,118.4300888888889,251.33008000000004,0.4062461419753085,0.0048237032396047,251.33008000000004,26.554989666666668,170.9149450798954,0.0112990698574131,130.56139543325008,32.83134546682769
760815-16-M5,760815-16-M5,1976-08-15 16:40:43.500000,DD,isolated,118.2584,251.2156,0.4136979166666666,0.0037855940487044,251.2156,25.792518,-1.0,-1.0,-1.0,-1.0
