,evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
4059,770107-09-M1,770107-09-M1,1977-01-07 09:20:48.325000,AA,isolated,334.70313851851853,337.6680755555556,26.89726070601852,0.0046059037193856,337.6680755555556,41.82168475,251.4824490024484,3.494534306245664,55.00282502906971,4.462097619891828
4060,770107-09-M3,770107-09-M3,1977-01-07 09:43:44.200000,BB,isolated,334.2647051851852,337.40459851851847,26.91318518518519,0.0054408310297649,337.40459851851847,42.609524666666665,65.72192524490475,6.337866032362136,302.1959330879816,8.535587866810033
4061,770107-09-N2,770107-09-N2,1977-01-07 09:16:23.800000,DD,isolated,334.7893540740741,337.7151022222222,26.89419907407408,0.0042199148233451,337.7151022222222,65.761226,-1.0,-1.0,-1.0,-1.0
4062,770108-01-M2,770108-01-M2,1977-01-08 01:56:54.550000,CC,isolated,312.9202607407408,325.27121111111114,27.588999421296293,0.0084480292989372,325.27121111111114,38.894729,-1.0,-1.0,-1.0,-1.0
4063,770108-02-M1,770108-02-M1,1977-01-08 02:00:33.975000,AA,isolated,312.82924,325.22245,27.5915390625,0.0138638537354712,325.22245,16.65892925,230.2924430539408,102.20298415225407,228.77483813971293,0.0040900962349199
4064,770108-02-M4,770108-02-M4,1977-01-08 02:56:23.633333,DD,isolated,311.4129575310074,324.45808148155555,27.63030825616898,0.0050261924821477,324.45808148155555,30.795239,-1.0,-1.0,-1.0,-1.0
4065,770108-02-N5,770108-02-N5,1977-01-08 02:58:47.800000,DD,isolated,311.35101925925926,324.42604444444447,27.63197685185185,0.0074161000967414,324.42604444444447,27.050341,-1.0,-1.0,-1.0,-1.0
4066,770108-03-M1,770108-03-M1,1977-01-08 03:10:59.976055,CC,isolated,311.0364547319259,324.2535612314074,27.640451111747684,0.0040000263685482,324.2535612314074,6.508674,-1.0,-1.0,-1.0,-1.0
4067,770108-03-M3,770108-03-M3,1977-01-08 03:22:56.316667,CC,isolated,310.7286935801037,324.09376197522965,27.648742091053244,0.0037341142588954,324.09376197522965,67.727553,-1.0,-1.0,-1.0,-1.0
4068,770108-03-M4,770108-03-M4,1977-01-08 03:38:10.366667,BB,isolated,310.335990617284,323.8770982716049,27.659321373456788,0.0046505461713365,323.8770982716049,33.99047766666666,341.55762852953853,1.4437123780758576,252.0762258163012,0.2734017491058443
4069,770108-04-M1,770108-04-M1,1977-01-08 04:17:32.393962,CC,isolated,309.3022693502222,323.3272103201185,27.68665965233797,0.0055438448568545,323.3272103201185,25.804083,-1.0,-1.0,-1.0,-1.0
4070,770108-04-M2,770108-04-M2,1977-01-08 04:27:21.766667,BB,isolated,309.04798172825184,323.1951629628889,27.69348109568287,0.003822401275477,323.1951629628889,7.578005333333333,237.40424128338947,0.9883749023030166,51.54692991881967,1.080807638104213
4071,770108-04-M3,770108-04-M3,1977-01-08 04:39:36.345200,DD,isolated,308.7238465777778,323.02338484148146,27.701983162037035,0.0057546494182367,323.02338484148146,27.414967,-1.0,-1.0,-1.0,-1.0
4072,770108-04-M5,770108-04-M5,1977-01-08 04:09:24.475000,AA,isolated,309.5191222222222,323.4428651851852,27.681012442129628,0.0058812904409,323.4428651851852,35.024150500000005,357.3314034645152,1.7787891157754847,338.8099464571052,0.051964144940841
