evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,source_distance_m
760830-09-M5,761226-15-M1,1,1976-08-30 09:47:01.090694,0.9283849922382074,-0.2040816326530612,3,35,A,AA,repeating,362,5.87313,1976-08-30 09:47:00.886612,200.33058223028144,213.57865460432595,15.126399150601852,sunrise1,205.10000012974425,0.0350881398153512,108.52527756509616,0.0061069679633258,63.17460940123679,1.1940118226393293,145.658121
760830-09-M8,761226-15-M1,1,1976-08-30 09:53:43.678571,0.9425890211167988,-0.1785714285714285,3,35,C,AA,repeating,362,5.843539,1976-08-30 09:53:43.500000,200.99862222222225,213.6740888888889,15.131059027777775,sunrise1,600.0,0.038083982259169,48.553598486760265,1.6035490629533773,78.04922943930839,2.8406404077157,145.658121
760830-10-M10,761226-15-M1,1,1976-08-30 10:39:55.470261,0.9563325110023462,0.1615646258503401,3,35,A,AA,repeating,362,5.503062,1976-08-30 10:39:55.631826,205.4353625712,214.3600109784,15.163143886875,sunrise1,112.90000012974949,0.029103866796861,104.79368306486396,0.0072889340141652,60.5918426880116,1.318119511117774,145.658121
760830-10-M11,761226-15-M1,1,1976-08-30 10:44:37.876539,0.9684035290647812,0.1530612244897959,3,35,A,AA,repeating,362,4.544219,1976-08-30 10:44:38.029600,205.8728159762963,214.4311333807408,15.16641237962963,sunrise1,207.9000001297441,0.0371112381288623,79.55747043274948,1.5864848965810052,81.14383870603072,4.514285761159087,145.658121
760830-10-M13,761226-15-M1,1,1976-08-30 10:56:13.416466,0.9634058570961156,-0.1445578231292517,3,35,A,AA,repeating,362,4.835715,1976-08-30 10:56:13.271908,206.93738866097777,214.6062314434963,15.174459165601853,sunrise1,283.70000012974765,0.033560953546055,90.1379662772533,0.028193274161662,73.9751014123352,3.606569086195012,145.658121
760830-10-M16,761226-15-M1,1,1976-08-30 10:50:00.742517,0.9633840325002612,-0.042517006802721,3,35,C,AA,repeating,362,5.699661,1976-08-30 10:50:00.700000,206.36996740740744,214.51239851851847,15.17014699074074,sunrise1,134.10000012974828,0.0307169038382559,104.62961079367224,0.0069846565587671,45.7400684600658,0.2916143316114643,145.658121
760830-10-M2,761226-15-M1,1,1976-08-30 10:05:55.268300,0.9484523561272192,0.2636054421768707,3,35,A,AA,repeating,362,5.394559,1976-08-30 10:05:55.531905,202.19605199333333,213.8562080353333,15.139531619270835,sunrise1,110.9000001297496,0.0339995309770515,104.7622245876494,0.0036485364102185,76.65887513188166,1.2037172477369098,145.658121
760830-10-M4,761226-15-M1,1,1976-08-30 10:11:08.645965,0.95336156451768,-0.0850340136054421,3,35,A,AA,repeating,362,5.913606,1976-08-30 10:11:08.560931,202.7029354293185,213.9318070354963,15.143154640405092,sunrise1,199.50000012974456,0.0333044283922185,106.20431145955426,0.0199662277517002,73.81432424575846,3.6617406884057977,145.658121
760830-10-M5,761226-15-M1,1,1976-08-30 10:15:57.050901,0.9593639033770952,-0.1785714285714285,3,35,A,AA,repeating,362,5.835035,1976-08-30 10:15:56.872330,203.1685049477037,214.00014751525924,15.146491577893515,sunrise1,168.30000012974634,0.034132645056791,102.49323985768147,0.0482240765418273,46.14212009305265,0.3013764769144545,145.658121
760830-10-M6,761226-15-M1,1,1976-08-30 10:20:55.268750,0.9644016698607292,-0.6717687074829932,3,35,A,AA,repeating,362,6.326531,1976-08-30 10:20:54.596981,203.64351525905184,214.07263923965925,15.149937465057867,sunrise1,151.5000001297473,0.0325408168350121,81.89414661317923,1.333774109948077,54.74989759074795,0.1358668018490735,145.658121
760830-10-M8,761226-15-M1,1,1976-08-30 10:30:34.119765,0.961592614730053,0.0340136054421768,3,35,A,AA,repeating,362,4.654763,1976-08-30 10:30:34.153779,204.5536340825778,214.2186016924889,15.156645298368057,sunrise1,600.0,0.0350199418654224,104.43572813937188,0.0034022858222914,61.83311322172235,0.736667476974471,145.658121
760830-10-M9,761226-15-M1,1,1976-08-30 10:35:21.714985,0.9683632197291048,0.1700680272108843,3,35,A,AA,repeating,362,5.486055,1976-08-30 10:35:21.885053,205.0054787498963,214.29106734668147,15.15997552144676,sunrise1,121.200000129749,0.0353136930215987,88.6353915418717,0.5863533037160934,88.50196564428953,0.5070000663612235,145.658121
