,evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,Regolith_Temp_K,Regolith_Temp_K_per_sec,Rock_Temp_K,Rock_Temp_K_per_sec,deltat_AU,deldot_kms,mean_abs_amp_nms
0,760830-10-M10,761226-15-M9,geo1,1976-08-30T10:39:56.354201,0.8757852319137912,-0.1988453570191259,5,35,A,205.4364969674963,0.0015703703703703,214.36019290988148,0.0002518518518518,0.0024475478920847,0.0109317024338169,33.66760132471308
1,760830-10-M11,761226-15-M9,geo1,1976-08-30T10:44:38.761599,0.892647857752275,-0.356971303100422,5,35,A,205.87394379697776,0.0015407407407407,214.43131773604443,0.0002518518518518,0.0024476000619909,0.0030410213340674,39.057297062881474
2,760830-10-M13,761226-15-M9,geo1,1976-08-30T10:56:14.292042,0.9283266929934636,0.0774139018634183,5,35,A,206.9389301968,0.0015111111111111,214.60648836613333,0.0002518518518518,0.002447728942966,0.008776152748542,33.22877656655492
3,760830-10-M2,761226-15-M9,geo1,1976-08-30T10:05:56.153757,0.8436061121719924,0.2468821619392217,5,35,A,202.1970653817777,0.0016296296296296,213.85636464991111,0.0002518518518518,0.0024471721664644,0.0175366050660915,37.57683265476021
4,760830-10-M5,761226-15-M9,geo1,1976-08-30T10:15:57.940324,0.8311304385457439,0.0293990087313822,5,35,A,203.17022956023703,0.0016148148148148,214.0004006693925,0.000237037037037,0.0024472826634368,0.0258932442363367,37.72651183963272
5,760830-10-M6,761226-15-M9,geo1,1976-08-30T10:20:56.150113,0.8831873057473995,-0.3573373174101875,5,35,A,203.64595425152592,0.0015703703703703,214.0730303988296,0.0002518518518518,0.0024473375777721,0.0175900690437875,36.72817253778236
6,760830-10-M9,761226-15-M9,geo1,1976-08-30T10:35:22.597980,0.8930565792484768,-0.1190427475731049,5,35,A,205.00659830933333,0.0015703703703703,214.29124689866663,0.0002518518518518,0.0024474973203345,0.0185806629578027,37.31707442334248
7,760830-11-M1,761226-15-M9,geo1,1976-08-30T11:01:46.462660,0.9124734564084996,-0.5726941602498371,5,35,A,207.44087690844444,0.0015111111111111,214.69014615140745,0.0002518518518518,0.0024477905616375,0.0247738130528742,32.52918222235627
8,760830-11-M10,761226-15-M9,geo1,1976-08-30T11:48:07.599413,0.8764032903567502,-0.3556743096932667,5,35,A,211.51625397127407,0.001437037037037,215.4105805929037,0.0002518518518518,0.0024483094572307,0.0226965750952647,24.020499500638703
9,760830-11-M12,761226-15-M9,geo1,1976-08-30T11:52:42.544834,0.8993997710833439,-0.1302756080008821,5,35,A,211.9078415416889,0.0014222222222222,215.48334528906665,0.0002666666666666,0.002448361045127,0.0148819673160021,35.136492122798394
10,760830-11-M2,761226-15-M9,geo1,1976-08-30T11:07:10.471937,0.9107322992924094,-0.3199441775611961,5,35,A,207.927446898326,0.0014962962962962,214.77479251653327,0.0002666666666666,0.0024478507944112,0.0156579337563609,29.35690224836219
11,760830-11-M3,761226-15-M9,geo1,1976-08-30T11:12:00.595317,0.8441264674851837,-0.2335875732784754,5,35,A,208.3615574372889,0.0014962962962962,214.8521587512,0.0002666666666666,0.0024479047278544,0.0074954214429357,27.602608310823346
12,760830-11-M6,761226-15-M9,geo1,1976-08-30T11:28:34.123474,0.8110511191809489,-0.3895149373429456,5,35,A,209.82198667336297,0.0014518518518518,215.10709959306664,0.0002666666666666,0.0024480898947167,0.0048724760086346,31.962388789884923
13,760830-11-M7,761226-15-M9,geo1,1976-08-30T11:33:10.635602,0.9297691490600511,0.153090040693378,5,35,A,210.2234413184593,0.0014518518518518,215.1808361605333,0.0002666666666666,0.0024481415680616,0.0225423022130176,35.03855568592895
14,760830-12-M2,761226-15-M9,geo1,1976-08-30T12:06:52.513888,0.8235720970064235,-0.2749922907833543,5,35,A,213.1044637847704,0.0013925925925925,215.71000370346667,0.0002666666666666,0.0024485207606629,0.0163505180139064,31.95438734337389
15,760830-13-M5,761226-15-M9,geo1,1976-08-30T13:29:13.269305,0.8294942140286596,-0.1821868209635663,5,35,A,219.68046163303703,0.001274074074074,217.0568461747408,0.0002814814814814,0.0024494581480971,0.0038040877867394,39.32361830718606
16,760830-13-M6,761226-15-M9,geo1,1976-08-30T13:39:47.837332,0.8236874383335219,-0.0797127841727944,5,35,A,220.4889483044741,0.001274074074074,217.22675662186663,0.0002666666666666,0.0024495796990442,0.0115275936670615,36.28747606695145
17,760830-13-M8,761226-15-M9,geo1,1976-08-30T13:53:52.552454,0.8645705326961753,-0.0011624347138968,5,35,A,221.54273194275555,0.0012444444444444,217.46323698705183,0.0002814814814814,0.0024497418347837,0.0131694771022979,36.2146833934653
18,760830-14-M1,761226-15-M9,geo1,1976-08-30T14:05:48.074364,0.8192455370734028,0.1659899371732472,5,35,A,222.42951256071112,0.0012148148148148,217.6646431543111,0.0002814814814814,0.0024498795132623,0.0186024048982186,34.11228613826485
19,760830-14-M3,761226-15-M9,geo1,1976-08-30T14:18:11.384212,0.8581319271906973,3.346776450049578,5,35,A,223.33249637605925,0.0012148148148148,217.87387111152592,0.0002814814814814,0.0024500228559981,0.0232532613448308,36.7933074114524
20,760830-14-M4,761226-15-M9,geo1,1976-08-30T14:46:23.845976,0.883424755028353,0.1178968390928561,5,35,A,225.35479751265183,0.0011703703703704,218.3602677562074,0.0002814814814814,0.002450350518051,0.0265596000365981,33.3041373620207
