evid,pair,cc,dt,quality
760815-09-M1,12,0.7784593136656169,0.2295918367346939,LQ-LQ
760815-09-M1,13,0.7784385067012314,-1.1564625850340138,LQ-LQ
760815-09-M1,14,0.7808037875130963,0.0170068027210884,LQ-LQ
760815-09-M1,23,0.769390371326109,-2.100340136054422,LQ-LQ
760815-09-M1,34,0.7819827767533603,-0.3741496598639456,LQ-LQ
760815-09-M1,24,0.7795411488395194,-0.3996598639455783,LQ-LQ
760815-09-M2,12,0.762468500617151,-0.4421768707482993,LQ-LQ
760815-09-M2,13,0.765888976104972,-0.042517006802721,LQ-LQ
760815-09-M2,14,0.7711874173510218,0.2040816326530612,LQ-LQ
760815-09-M2,23,0.7579754057379403,-0.0085034013605442,LQ-LQ
760815-09-M2,34,0.7716540224059334,-0.0595238095238095,LQ-LQ
760815-09-M2,24,0.7692273749432,2.482993197278912,LQ-LQ
760815-09-M3,12,0.7807206994833795,-1.011904761904762,HQ-HQ
760815-09-M3,13,0.7808934391097953,-0.1870748299319728,HQ-HQ
760815-09-M3,14,0.768625525297433,-0.1700680272108843,HQ-HQ
760815-09-M3,23,0.7734300718703593,-0.195578231292517,HQ-HQ
760815-09-M3,34,0.7693324422897019,0.739795918367347,HQ-HQ
760815-09-M3,24,0.7762570629453347,-0.0170068027210884,HQ-HQ
760815-09-N1,12,0.7627166946636559,0.4421768707482993,LQ-LQ
760815-09-N1,13,0.7643616429772419,0.7227891156462586,LQ-LQ
760815-09-N1,14,0.7637878028023232,-0.0510204081632653,LQ-LQ
760815-09-N1,23,0.7778861984508338,-0.0595238095238095,LQ-LQ
760815-09-N1,34,0.7790028538272351,-0.0170068027210884,LQ-LQ
760815-09-N1,24,0.7683576981055592,0.0085034013605442,LQ-LQ
760815-09-N2,12,0.7677095835946538,-0.697278911564626,LQ-LQ
760815-09-N2,13,0.7683540300701901,0.54421768707483,LQ-LQ
760815-09-N2,14,0.7677899423553824,1.1139455782312926,HQ-LQ
760815-09-N2,23,0.766934892537029,-1.1054421768707483,LQ-LQ
760815-09-N2,34,0.7720809908838371,0.0850340136054421,HQ-LQ
760815-09-N2,24,0.7715963704526221,-0.4251700680272109,HQ-LQ
760815-10-M1,12,0.781847173236487,-0.0510204081632653,HQ-HQ
760815-10-M1,13,0.7754385313773542,0.3061224489795918,HQ-HQ
760815-10-M1,14,0.7911801083009908,-0.0255102040816326,HQ-HQ
760815-10-M1,23,0.7851231011628524,0.3571428571428571,HQ-HQ
760815-10-M1,34,0.7868287392544822,-0.042517006802721,HQ-HQ
760815-10-M1,24,0.7917577381973145,-0.2040816326530612,HQ-HQ
760815-11-M1,12,0.7622313756475444,-0.0765306122448979,HQ-LQ
760815-11-M1,13,0.7586126684021168,-0.1445578231292517,HQ-HQ
760815-11-M1,14,0.7457256219621354,0.0680272108843537,HQ-HQ
760815-11-M1,23,0.7657245139153858,0.195578231292517,HQ-LQ
760815-11-M1,34,0.7509620623763373,-0.2380952380952381,HQ-HQ
760815-11-M1,24,0.7453495491819212,-0.0595238095238095,HQ-LQ
760815-11-M2,12,0.7982864184962211,-1.2585034013605445,HQ-HQ
